bio,lemmatized_tokens,flag_classification,reason
might ghost accidentally,"['might', 'ghost', 'accidentally']",🚩Red Flag,['ghost']
Introvert with social battery issues,"['introvert', 'social', 'battery', 'issue']",🤷‍♂️No Clear Signal,[]
my version of fun is laughing till we cry,"['version', 'fun', 'laughing', 'till', 'cry']",🌿Green Flag,['laughing']
single & spicy,"['single', 'spicy']",🤷‍♂️No Clear Signal,[]
"Loves brunch, avoids serious chats.","['love', 'brunch', 'avoids', 'serious', 'chat']",🙂Mixed Signal,"['love', 'brunch']"
"Loves road trips, flaky with plans.","['love', 'road', 'trip', 'flaky', 'plan']",🌿Green Flag,['love']
I laugh at my own jokes constantly,"['laugh', 'joke', 'constantly']",🌿Green Flag,['laugh']
i talk too much,"['talk', 'much']",🤷‍♂️No Clear Signal,[]
pizza time,"['pizza', 'time']",🌿Green Flag,['pizza']
"Adventure seeker, flaky.","['adventure', 'seeker', 'flaky']",🤷‍♂️No Clear Signal,[]
introverted chaos,"['introverted', 'chaos']",🚩Red Flag,['chaos']
Currently training for a snack marathon,"['currently', 'training', 'snack', 'marathon']",🤷‍♂️No Clear Signal,[]
"i like dogs, hate mornings","['like', 'dog', 'hate', 'morning']",🌿Green Flag,"['dog', 'morning']"
gym and tacos,"['gym', 'taco']",🤷‍♂️No Clear Signal,[]
Amateur chef with a taste for adventure.,"['amateur', 'chef', 'taste', 'adventure']",🤷‍♂️No Clear Signal,[]
i make playlists for ppl i like,"['make', 'playlist', 'ppl', 'like']",🤷‍♂️No Clear Signal,[]
"Gamer, flaky mid-week.","['gamer', 'flaky', 'midweek']",🤷‍♂️No Clear Signal,[]
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
swipe right if ur emotionally reckless too,"['swipe', 'right', 'ur', 'emotionally', 'reckless']",🚩Red Flag,['reckless']
emojis speak 4 me,"['emojis', 'speak']",🤷‍♂️No Clear Signal,[]
Currently ignoring responsibilities,"['currently', 'ignoring', 'responsibility']",🤷‍♂️No Clear Signal,[]
I dance like no one’s watching… but everyone is,"['dance', 'like', 'one', 'watching', 'everyone']",🤷‍♂️No Clear Signal,[]
Dog mom looking for dog dad energy,"['dog', 'mom', 'looking', 'dog', 'dad', 'energy']",🌿Green Flag,"['dog', 'dog']"
work hard nap harder,"['work', 'hard', 'nap', 'harder']",🤷‍♂️No Clear Signal,[]
chaotic but fun,"['chaotic', 'fun']",🤷‍♂️No Clear Signal,[]
"Relationship-oriented, emotionally intelligent","['relationshiporiented', 'emotionally', 'intelligent']",🌿Green Flag,['intelligent']
love sarcasm more than humans,"['love', 'sarcasm', 'human']",🙂Mixed Signal,"['love', 'human', 'sarcasm']"
Will judge your Spotify playlist,"['judge', 'spotify', 'playlist']",🤷‍♂️No Clear Signal,[]
Loves random acts of kindness.,"['love', 'random', 'act', 'kindness']",🌿Green Flag,['love']
Professional napper seeking partner in naps,"['professional', 'napper', 'seeking', 'partner', 'nap']",🌿Green Flag,['professional']
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
i’m here for love that feels like alignment,"['im', 'love', 'feel', 'like', 'alignment']",🌿Green Flag,"['love', 'alignment']"
chaotic but fun,"['chaotic', 'fun']",🤷‍♂️No Clear Signal,[]
"Adventure seeker, flaky.","['adventure', 'seeker', 'flaky']",🤷‍♂️No Clear Signal,[]
sleepy queen,"['sleepy', 'queen']",🤷‍♂️No Clear Signal,[]
here 4 bad decisions,"['bad', 'decision']",🚩Red Flag,['bad']
Can be clingy… but in a cute way. 😘,"['clingy', 'cute', 'way']",🌿Green Flag,['clingy']
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
Amateur painter seeking inspiration and snacks.,"['amateur', 'painter', 'seeking', 'inspiration', 'snack']",🤷‍♂️No Clear Signal,[]
I binge shows to avoid life.,"['binge', 'show', 'avoid', 'life']",🌿Green Flag,['life']
"I flirt, then disappear into thin air.","['flirt', 'disappear', 'thin', 'air']",🚩Red Flag,['flirt']
Professional meme sharer,"['professional', 'meme', 'sharer']",🌿Green Flag,['professional']
"Coffee in one hand, memes in the other.","['coffee', 'one', 'hand', 'meme']",🌿Green Flag,['coffee']
Fluent in sarcasm and dad jokes,"['fluent', 'sarcasm', 'dad', 'joke']",🙂Mixed Signal,"['fluent', 'sarcasm']"
"Dog mom, chaos queen.","['dog', 'mom', 'chaos', 'queen']",🙂Mixed Signal,"['dog', 'chaos']"
awkward af,"['awkward', 'af']",🤷‍♂️No Clear Signal,[]
messy bun vibes,"['messy', 'bun', 'vibe']",🚩Red Flag,['messy']
emojis all day,"['emojis', 'day']",🤷‍♂️No Clear Signal,[]
not afraid to say “I like you” first,"['afraid', 'say', 'like', 'first']",🌿Green Flag,['afraid']
"Yoga lover, ignores messages.","['yoga', 'lover', 'ignores', 'message']",🌿Green Flag,['lover']
Flirting: chaotic but cute,"['flirting', 'chaotic', 'cute']",🤷‍♂️No Clear Signal,[]
"Loves ice cream, forgets birthdays.","['love', 'ice', 'cream', 'forgets', 'birthday']",🌿Green Flag,['love']
"i swear a lot, deal w it","['swear', 'lot', 'deal', 'w']",🤷‍♂️No Clear Signal,[]
Obsessed with quirky gifts.,"['obsessed', 'quirky', 'gift']",🚩Red Flag,['obsessed']
I may ghost you… unless you have pizza,"['may', 'ghost', 'unless', 'pizza']",🙂Mixed Signal,"['pizza', 'ghost']"
coffee dependent,"['coffee', 'dependent']",🌿Green Flag,['coffee']
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
i like coffee strong,"['like', 'coffee', 'strong']",🌿Green Flag,['coffee']
my playlist is my mood,"['playlist', 'mood']",🤷‍♂️No Clear Signal,[]
Night owl with a love for spontaneous fun.,"['night', 'owl', 'love', 'spontaneous', 'fun']",🌿Green Flag,['love']
Likes late-night talks and bad pizza. 🌙🍕,"['like', 'latenight', 'talk', 'bad', 'pizza']",🙂Mixed Signal,"['pizza', 'bad']"
"Loves concerts, flakes often.","['love', 'concert', 'flake', 'often']",🙂Mixed Signal,"['love', 'flake']"
Flirting like it’s my full-time job,"['flirting', 'like', 'fulltime', 'job']",🤷‍♂️No Clear Signal,[]
"Foodie, avoids confrontation.","['foodie', 'avoids', 'confrontation']",🤷‍♂️No Clear Signal,[]
just got out of therapy. ready to date again,"['got', 'therapy', 'ready', 'date']",🌿Green Flag,['got']
tacos pls,"['taco', 'pls']",🤷‍♂️No Clear Signal,[]
Flirting: chaotic but cute,"['flirting', 'chaotic', 'cute']",🤷‍♂️No Clear Signal,[]
"Always planning, rarely executing.","['always', 'planning', 'rarely', 'executing']",🌿Green Flag,['always']
"Gamer, flaky with friends.","['gamer', 'flaky', 'friend']",🤷‍♂️No Clear Signal,[]
"I flirt shamelessly, regret occasionally.","['flirt', 'shamelessly', 'regret', 'occasionally']",🚩Red Flag,['flirt']
pizza & naps forever,"['pizza', 'nap', 'forever']",🌿Green Flag,['pizza']
"i talk too much, deal","['talk', 'much', 'deal']",🤷‍♂️No Clear Signal,[]
"Snack provider, chaos bringer","['snack', 'provider', 'chaos', 'bringer']",🚩Red Flag,['chaos']
"if you flake, I’ll post about you","['flake', 'ill', 'post']",🚩Red Flag,['flake']
loves dancing alone,"['love', 'dancing', 'alone']",🌿Green Flag,"['love', 'dancing']"
"Night owl, chaos lover, meme enthusiast.","['night', 'owl', 'chaos', 'lover', 'meme', 'enthusiast']",🙂Mixed Signal,"['lover', 'enthusiast', 'chaos']"
"coffee in hand, vibes in mind","['coffee', 'hand', 'vibe', 'mind']",🌿Green Flag,['coffee']
bad jokes included for free,"['bad', 'joke', 'included', 'free']",🚩Red Flag,['bad']
Loves dancing in the rain… and stealing your umbrella. 🌧️☂️,"['love', 'dancing', 'rain', 'stealing', 'umbrella']",🌿Green Flag,"['love', 'dancing']"
Will judge your memes,"['judge', 'meme']",🤷‍♂️No Clear Signal,[]
I overthink and nap simultaneously,"['overthink', 'nap', 'simultaneously']",🚩Red Flag,['overthink']
I nap like it’s an Olympic sport,"['nap', 'like', 'olympic', 'sport']",🤷‍♂️No Clear Signal,[]
dogs are life,"['dog', 'life']",🌿Green Flag,"['dog', 'life']"
Fluent in movie quotes and bad puns.,"['fluent', 'movie', 'quote', 'bad', 'pun']",🙂Mixed Signal,"['fluent', 'bad']"
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
Professional chaos coordinator,"['professional', 'chaos', 'coordinator']",🙂Mixed Signal,"['professional', 'chaos']"
"Yoga lover, avoids serious chats.","['yoga', 'lover', 'avoids', 'serious', 'chat']",🌿Green Flag,['lover']
Pizza > Everything else,"['pizza', 'everything', 'else']",🌿Green Flag,['pizza']
Obsessed with trying new foods and failing at cooking 🍣🔥,"['obsessed', 'trying', 'new', 'food', 'failing', 'cooking']",🚩Red Flag,['obsessed']
"Loves rain, hates umbrellas.","['love', 'rain', 'hate', 'umbrella']",🌿Green Flag,['love']
Travel addict stuck in a 9–5 mind.,"['travel', 'addict', 'stuck', 'mind']",🤷‍♂️No Clear Signal,[]
Fluent in sarcasm and awkward humor.,"['fluent', 'sarcasm', 'awkward', 'humor']",🙂Mixed Signal,"['fluent', 'sarcasm']"
Obsessed with spontaneous adventures.,"['obsessed', 'spontaneous', 'adventure']",🚩Red Flag,['obsessed']
I laugh at my own jokes so you don’t have to. 😎,"['laugh', 'joke', 'dont']",🌿Green Flag,"['laugh', 'dont']"
loves adventures,"['love', 'adventure']",🌿Green Flag,['love']
pizza is bae,"['pizza', 'bae']",🌿Green Flag,['pizza']
like anime,"['like', 'anime']",🤷‍♂️No Clear Signal,[]
lowkey savage,"['lowkey', 'savage']",🤷‍♂️No Clear Signal,[]
chill but deadly,"['chill', 'deadly']",🌿Green Flag,['chill']
could be bad influence,"['could', 'bad', 'influence']",🚩Red Flag,['bad']
Swipe right if you love dogs and bad puns 🐕😂,"['swipe', 'right', 'love', 'dog', 'bad', 'pun']",🙂Mixed Signal,"['love', 'dog', 'bad']"
messy but fun,"['messy', 'fun']",🚩Red Flag,['messy']
Caffeine-fueled overthinker,"['caffeinefueled', 'overthinker']",🤷‍♂️No Clear Signal,[]
"Obsessed with sunsets, dogs, and long drives","['obsessed', 'sunset', 'dog', 'long', 'drive']",🙂Mixed Signal,"['dog', 'obsessed']"
not your hype,['hype'],🤷‍♂️No Clear Signal,[]
pizza > everything,"['pizza', 'everything']",🌿Green Flag,['pizza']
i binge too much,"['binge', 'much']",🤷‍♂️No Clear Signal,[]
Sunrise chaser and sunset dreamer.,"['sunrise', 'chaser', 'sunset', 'dreamer']",🤷‍♂️No Clear Signal,[]
Collector of memories and mugs.,"['collector', 'memory', 'mug']",🤷‍♂️No Clear Signal,[]
Will judge your memes silently,"['judge', 'meme', 'silently']",🤷‍♂️No Clear Signal,[]
"Loves philosophy, ignores texts for hours.","['love', 'philosophy', 'ignores', 'text', 'hour']",🌿Green Flag,['love']
Night owl with a morning coffee ritual.,"['night', 'owl', 'morning', 'coffee', 'ritual']",🌿Green Flag,"['morning', 'coffee']"
dogs over humans,"['dog', 'human']",🌿Green Flag,"['dog', 'human']"
introvert but fun,"['introvert', 'fun']",🤷‍♂️No Clear Signal,[]
tacos before love,"['taco', 'love']",🌿Green Flag,['love']
lonely but spicy,"['lonely', 'spicy']",🤷‍♂️No Clear Signal,[]
"Flirting: chaotic, unplanned, cute","['flirting', 'chaotic', 'unplanned', 'cute']",🤷‍♂️No Clear Signal,[]
dogs over humans,"['dog', 'human']",🌿Green Flag,"['dog', 'human']"
emojis for life,"['emojis', 'life']",🌿Green Flag,['life']
chaotic neutral,"['chaotic', 'neutral']",🤷‍♂️No Clear Signal,[]
Likes to win… even in arguments. 😤,"['like', 'win', 'even', 'argument']",🚩Red Flag,['win']
just vibin here,['vibin'],🤷‍♂️No Clear Signal,[]
"if you’re not slightly toxic, it’s boring","['youre', 'slightly', 'toxic', 'boring']",🚩Red Flag,"['toxic', 'boring']"
"Dog cuddler, human tester.","['dog', 'cuddler', 'human', 'tester']",🌿Green Flag,"['dog', 'human']"
Dog whisperer seeking dog human,"['dog', 'whisperer', 'seeking', 'dog', 'human']",🌿Green Flag,"['dog', 'dog', 'human']"
love coffee but hate mornings,"['love', 'coffee', 'hate', 'morning']",🌿Green Flag,"['love', 'coffee', 'morning']"
just another human,"['another', 'human']",🌿Green Flag,['human']
love sarcasm,"['love', 'sarcasm']",🙂Mixed Signal,"['love', 'sarcasm']"
sarcasm queen forever,"['sarcasm', 'queen', 'forever']",🚩Red Flag,['sarcasm']
"Obsessed with hiking, photography, and laughter.","['obsessed', 'hiking', 'photography', 'laughter']",🚩Red Flag,['obsessed']
"if we match, let’s be real from the start","['match', 'let', 'real', 'start']",🌿Green Flag,['real']
pizza & chaos energy,"['pizza', 'chaos', 'energy']",🙂Mixed Signal,"['pizza', 'chaos']"
i scream at movies,"['scream', 'movie']",🤷‍♂️No Clear Signal,[]
Serial overthinker with snacks,"['serial', 'overthinker', 'snack']",🤷‍♂️No Clear Signal,[]
obsessed w fashion,"['obsessed', 'w', 'fashion']",🚩Red Flag,['obsessed']
"I laugh at bad jokes, make worse ones.","['laugh', 'bad', 'joke', 'make', 'worse', 'one']",🙂Mixed Signal,"['laugh', 'bad', 'worse']"
dogs > humans obviously,"['dog', 'human', 'obviously']",🌿Green Flag,"['dog', 'human']"
dont ghost me pls,"['dont', 'ghost', 'pls']",🙂Mixed Signal,"['dont', 'ghost']"
"I smile, I tease, I confuse. 😏🎭","['smile', 'tease', 'confuse']",🤷‍♂️No Clear Signal,[]
chaotic neutral,"['chaotic', 'neutral']",🤷‍♂️No Clear Signal,[]
i binge shows nonstop,"['binge', 'show', 'nonstop']",🤷‍♂️No Clear Signal,[]
I eat snacks like a full-time hobby,"['eat', 'snack', 'like', 'fulltime', 'hobby']",🤷‍♂️No Clear Signal,[]
I ghost for self-preservation.,"['ghost', 'selfpreservation']",🚩Red Flag,['ghost']
i laugh at my own jokes,"['laugh', 'joke']",🌿Green Flag,['laugh']
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
Obsessed with cozy blankets and warm drinks.,"['obsessed', 'cozy', 'blanket', 'warm', 'drink']",🙂Mixed Signal,"['warm', 'obsessed']"
Obsessed with board games and strategy.,"['obsessed', 'board', 'game', 'strategy']",🚩Red Flag,['obsessed']
loves spontaneous trips,"['love', 'spontaneous', 'trip']",🌿Green Flag,['love']
"looking for peace, partnership, and playlists","['looking', 'peace', 'partnership', 'playlist']",🌿Green Flag,['peace']
"I ghost, but only for your own good.","['ghost', 'good']",🚩Red Flag,['ghost']
no f*ckboys… unless ur hot,"['fckboys', 'unless', 'ur', 'hot']",🚩Red Flag,['fckboys']
"Dog cuddler, Netflix binger.","['dog', 'cuddler', 'netflix', 'binger']",🌿Green Flag,['dog']
"Night owl, meme collector, chocolate lover.","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']",🌿Green Flag,['lover']
Always chasing the next sunset 🌅💖,"['always', 'chasing', 'next', 'sunset']",🌿Green Flag,['always']
you’ll always know where you stand with me,"['youll', 'always', 'know', 'stand']",🌿Green Flag,['always']
Amateur painter seeking inspiration and snacks.,"['amateur', 'painter', 'seeking', 'inspiration', 'snack']",🤷‍♂️No Clear Signal,[]
workaholic wannabe,"['workaholic', 'wannabe']",🤷‍♂️No Clear Signal,[]
"Coffee shop regular, avoids serious topics.","['coffee', 'shop', 'regular', 'avoids', 'serious', 'topic']",🌿Green Flag,['coffee']
sarcasm queen,"['sarcasm', 'queen']",🚩Red Flag,['sarcasm']
love sarcasm,"['love', 'sarcasm']",🙂Mixed Signal,"['love', 'sarcasm']"
chill but scary,"['chill', 'scary']",🌿Green Flag,['chill']
just wing it,['wing'],🤷‍♂️No Clear Signal,[]
Introvert with social battery issues,"['introvert', 'social', 'battery', 'issue']",🤷‍♂️No Clear Signal,[]
i ghost sometimes,"['ghost', 'sometimes']",🚩Red Flag,['ghost']
emotionally regulated 97% of the time. The rest is vibes.,"['emotionally', 'regulated', 'time', 'rest', 'vibe']",🤷‍♂️No Clear Signal,[]
"if u can’t handle attitude, keep scrolling","['u', 'cant', 'handle', 'attitude', 'keep', 'scrolling']",🚩Red Flag,['attitude']
"Fitness lover, pizza enthusiast.","['fitness', 'lover', 'pizza', 'enthusiast']",🌿Green Flag,"['lover', 'pizza', 'enthusiast']"
might annoy u,"['might', 'annoy', 'u']",🤷‍♂️No Clear Signal,[]
Flirting like it’s an Olympic sport,"['flirting', 'like', 'olympic', 'sport']",🤷‍♂️No Clear Signal,[]
coffee is my soulmate,"['coffee', 'soulmate']",🌿Green Flag,['coffee']
Professional overthinker,"['professional', 'overthinker']",🌿Green Flag,['professional']
My dog is my wingman,"['dog', 'wingman']",🌿Green Flag,['dog']
Netflix > life,"['netflix', 'life']",🌿Green Flag,['life']
"Beach hair, don’t care.","['beach', 'hair', 'dont', 'care']",🌿Green Flag,['dont']
Reads constantly but never responds to texts.,"['read', 'constantly', 'never', 'responds', 'text']",🤷‍♂️No Clear Signal,[]
pizza is bae,"['pizza', 'bae']",🌿Green Flag,['pizza']
"Recovering overthinker, open to chaos","['recovering', 'overthinker', 'open', 'chaos']",🚩Red Flag,['chaos']
sleepy & fun,"['sleepy', 'fun']",🤷‍♂️No Clear Signal,[]
Adventure seeker who hates Mondays.,"['adventure', 'seeker', 'hate', 'monday']",🤷‍♂️No Clear Signal,[]
Amateur painter seeking inspiration.,"['amateur', 'painter', 'seeking', 'inspiration']",🤷‍♂️No Clear Signal,[]
bad at small talk,"['bad', 'small', 'talk']",🙂Mixed Signal,"['small', 'bad']"
naps are sacred,"['nap', 'sacred']",🤷‍♂️No Clear Signal,[]
"Beach hair, don’t care, tacos in hand.","['beach', 'hair', 'dont', 'care', 'taco', 'hand']",🌿Green Flag,['dont']
i love long drives,"['love', 'long', 'drive']",🌿Green Flag,['love']
"Talks a lot about self-growth, rarely practices it.","['talk', 'lot', 'selfgrowth', 'rarely', 'practice']",🤷‍♂️No Clear Signal,[]
Professional chaos coordinator,"['professional', 'chaos', 'coordinator']",🙂Mixed Signal,"['professional', 'chaos']"
life’s too short 4 small talk,"['life', 'short', 'small', 'talk']",🌿Green Flag,"['life', 'small']"
Recovering chaos magnet,"['recovering', 'chaos', 'magnet']",🚩Red Flag,['chaos']
loves hugs more,"['love', 'hug']",🌿Green Flag,['love']
Professional napper,"['professional', 'napper']",🌿Green Flag,['professional']
"i want attention, not a penpal","['want', 'attention', 'penpal']",🚩Red Flag,"['attention', 'penpal']"
loves sushi 🍣,"['love', 'sushi']",🌿Green Flag,['love']
"Obsessed with dogs, bad jokes, and chocolate 🐶🍫😂","['obsessed', 'dog', 'bad', 'joke', 'chocolate']",🙂Mixed Signal,"['dog', 'obsessed', 'bad']"
Serious foodie but constantly complains.,"['serious', 'foodie', 'constantly', 'complains']",🤷‍♂️No Clear Signal,[]
i nap anywhere,"['nap', 'anywhere']",🤷‍♂️No Clear Signal,[]
just got out of something messy. keep that in mind,"['got', 'something', 'messy', 'keep', 'mind']",🙂Mixed Signal,"['got', 'something', 'messy']"
dont text me first,"['dont', 'text', 'first']",🌿Green Flag,['dont']
"Dog mom, chaos enthusiast","['dog', 'mom', 'chaos', 'enthusiast']",🙂Mixed Signal,"['dog', 'enthusiast', 'chaos']"
emotionally complex. physically fine af,"['emotionally', 'complex', 'physically', 'fine', 'af']",🚩Red Flag,['complex']
"Bookworm, dreamer, secretly competitive. 📚🔥","['bookworm', 'dreamer', 'secretly', 'competitive']",🌿Green Flag,['bookworm']
wanderer at heart,"['wanderer', 'heart']",🤷‍♂️No Clear Signal,[]
Loves cooking experiments and tasting fails.,"['love', 'cooking', 'experiment', 'tasting', 'fails']",🌿Green Flag,['love']
i sing badly but loud,"['sing', 'badly', 'loud']",🤷‍♂️No Clear Signal,[]
Introvert seeking mutual ignoring,"['introvert', 'seeking', 'mutual', 'ignoring']",🤷‍♂️No Clear Signal,[]
chaotic brain alert,"['chaotic', 'brain', 'alert']",🤷‍♂️No Clear Signal,[]
loves a little danger,"['love', 'little', 'danger']",🌿Green Flag,['love']
Self-proclaimed chef of weird recipes.,"['selfproclaimed', 'chef', 'weird', 'recipe']",🤷‍♂️No Clear Signal,[]
maybe a mood,"['maybe', 'mood']",🤷‍♂️No Clear Signal,[]
sarcasm is life,"['sarcasm', 'life']",🙂Mixed Signal,"['life', 'sarcasm']"
Will steal your fries and leave politely,"['steal', 'fry', 'leave', 'politely']",🚩Red Flag,['steal']
nothing serious,"['nothing', 'serious']",🤷‍♂️No Clear Signal,[]
i cry at movies and apologize when I’m wrong,"['cry', 'movie', 'apologize', 'im', 'wrong']",🌿Green Flag,['apologize']
lowkey chaotic,"['lowkey', 'chaotic']",🤷‍♂️No Clear Signal,[]
"i’m not easy to impress, just easy to distract","['im', 'easy', 'impress', 'easy', 'distract']",🚩Red Flag,['impress']
lowkey flirty,"['lowkey', 'flirty']",🤷‍♂️No Clear Signal,[]
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
"Loves random trips, hates traffic. 🏞️🚗","['love', 'random', 'trip', 'hate', 'traffic']",🌿Green Flag,['love']
pizza > life,"['pizza', 'life']",🌿Green Flag,"['pizza', 'life']"
might cry today,"['might', 'cry', 'today']",🤷‍♂️No Clear Signal,[]
loves random trips,"['love', 'random', 'trip']",🌿Green Flag,['love']
Loves stargazing and campfire stories.,"['love', 'stargazing', 'campfire', 'story']",🌿Green Flag,['love']
"I bring flowers, not drama","['bring', 'flower', 'drama']",🚩Red Flag,['drama']
Currently training for dessert marathon,"['currently', 'training', 'dessert', 'marathon']",🤷‍♂️No Clear Signal,[]
I’m just looking for someone to share my snacks with,"['im', 'looking', 'someone', 'share', 'snack']",🌿Green Flag,['share']
Dog lover and meme curator 🐶😂,"['dog', 'lover', 'meme', 'curator']",🌿Green Flag,"['dog', 'lover']"
Will judge your memes silently,"['judge', 'meme', 'silently']",🤷‍♂️No Clear Signal,[]
i ghost sometimes deal,"['ghost', 'sometimes', 'deal']",🚩Red Flag,['ghost']
Travel bug with a caffeine addiction ✈️☕,"['travel', 'bug', 'caffeine', 'addiction']",🤷‍♂️No Clear Signal,[]
"thoughtful, slightly awkward, and surprisingly romantic","['thoughtful', 'slightly', 'awkward', 'surprisingly', 'romantic']",🌿Green Flag,['romantic']
"I love cats, tolerate humans.","['love', 'cat', 'tolerate', 'human']",🌿Green Flag,"['love', 'human']"
i ghost a lot lol,"['ghost', 'lot', 'lol']",🚩Red Flag,['ghost']
Flirt level: expert,"['flirt', 'level', 'expert']",🚩Red Flag,['flirt']
"Loves meditation, flaky with plans.","['love', 'meditation', 'flaky', 'plan']",🌿Green Flag,['love']
LOVE dogs more than ppl,"['love', 'dog', 'ppl']",🌿Green Flag,"['love', 'dog']"
chaotic & lovable,"['chaotic', 'lovable']",🤷‍♂️No Clear Signal,[]
Recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']",🚩Red Flag,['chaos']
might annoy u,"['might', 'annoy', 'u']",🤷‍♂️No Clear Signal,[]
can’t keep secrets,"['cant', 'keep', 'secret']",🤷‍♂️No Clear Signal,[]
Life’s messy. I prefer honesty over perfection,"['life', 'messy', 'prefer', 'honesty', 'perfection']",🙂Mixed Signal,"['life', 'honesty', 'messy']"
yes i overthink everything,"['yes', 'overthink', 'everything']",🚩Red Flag,['overthink']
probably late to everything,"['probably', 'late', 'everything']",🤷‍♂️No Clear Signal,[]
coffee forever,"['coffee', 'forever']",🌿Green Flag,['coffee']
Sarcasm enthusiast,"['sarcasm', 'enthusiast']",🙂Mixed Signal,"['enthusiast', 'sarcasm']"
"love memes, hate fake ppl","['love', 'meme', 'hate', 'fake', 'ppl']",🌿Green Flag,['love']
lazy AF,"['lazy', 'af']",🤷‍♂️No Clear Signal,[]
"Fitness junkie, flaky mid-week.","['fitness', 'junkie', 'flaky', 'midweek']",🤷‍♂️No Clear Signal,[]
obsessed with memes,"['obsessed', 'meme']",🚩Red Flag,['obsessed']
I dance like nobody’s watching… except your camera,"['dance', 'like', 'nobody', 'watching', 'except', 'camera']",🤷‍♂️No Clear Signal,[]
"Coffee lover, sometimes clingy.","['coffee', 'lover', 'sometimes', 'clingy']",🌿Green Flag,"['coffee', 'lover', 'clingy']"
"Foodie, ignores texts.","['foodie', 'ignores', 'text']",🤷‍♂️No Clear Signal,[]
May steal your hoodie,"['may', 'steal', 'hoodie']",🚩Red Flag,['steal']
loves dancing alone,"['love', 'dancing', 'alone']",🌿Green Flag,"['love', 'dancing']"
binge watcher & eater,"['binge', 'watcher', 'eater']",🤷‍♂️No Clear Signal,[]
i read too many conspiracy theories,"['read', 'many', 'conspiracy', 'theory']",🤷‍♂️No Clear Signal,[]
here to give u trust issues,"['give', 'u', 'trust', 'issue']",🌿Green Flag,['trust']
naps > plans,"['nap', 'plan']",🤷‍♂️No Clear Signal,[]
"Looking for someone to steal my fries, not my heart","['looking', 'someone', 'steal', 'fry', 'heart']",🚩Red Flag,['steal']
casual vibes,"['casual', 'vibe']",🤷‍♂️No Clear Signal,[]
Obsessed with sunsets and iced lattes.,"['obsessed', 'sunset', 'iced', 'latte']",🚩Red Flag,['obsessed']
just ask me,['ask'],🤷‍♂️No Clear Signal,[]
"love sarcasm, hate liars","['love', 'sarcasm', 'hate', 'liar']",🙂Mixed Signal,"['love', 'sarcasm']"
gym junkie,"['gym', 'junkie']",🤷‍♂️No Clear Signal,[]
Amateur photographer chasing golden hour.,"['amateur', 'photographer', 'chasing', 'golden', 'hour']",🤷‍♂️No Clear Signal,[]
"I trip over flat surfaces, impressively","['trip', 'flat', 'surface', 'impressively']",🤷‍♂️No Clear Signal,[]
"Fun, flirty, slightly chaotic. ⚡💋","['fun', 'flirty', 'slightly', 'chaotic']",🤷‍♂️No Clear Signal,[]
"Book lover, meme enthusiast, and pizza addict 📚😂🍕","['book', 'lover', 'meme', 'enthusiast', 'pizza', 'addict']",🌿Green Flag,"['lover', 'enthusiast', 'pizza']"
Karaoke king in the shower 🎤🚿,"['karaoke', 'king', 'shower']",🤷‍♂️No Clear Signal,[]
I’ll plan your vacation but forget our anniversary.,"['ill', 'plan', 'vacation', 'forget', 'anniversary']",🤷‍♂️No Clear Signal,[]
pizza & chaos energy,"['pizza', 'chaos', 'energy']",🙂Mixed Signal,"['pizza', 'chaos']"
just a human,['human'],🌿Green Flag,['human']
"I flirt with chaos, sometimes with people.","['flirt', 'chaos', 'sometimes', 'people']",🚩Red Flag,"['flirt', 'chaos']"
messy queen,"['messy', 'queen']",🚩Red Flag,['messy']
dont swipe right if you hate dogs,"['dont', 'swipe', 'right', 'hate', 'dog']",🌿Green Flag,"['dont', 'dog']"
Flirt level: dangerously charming,"['flirt', 'level', 'dangerously', 'charming']",🚩Red Flag,['flirt']
"Boardwalks, beaches, and breezy evenings.","['boardwalk', 'beach', 'breezy', 'evening']",🤷‍♂️No Clear Signal,[]
"Night owl, chaos enthusiast, dog cuddler.","['night', 'owl', 'chaos', 'enthusiast', 'dog', 'cuddler']",🙂Mixed Signal,"['enthusiast', 'dog', 'chaos']"
420 friendly but dont tell my mom,"['friendly', 'dont', 'tell', 'mom']",🌿Green Flag,['dont']
Will challenge you to Mario Kart and crush your soul,"['challenge', 'mario', 'kart', 'crush', 'soul']",🌿Green Flag,['soul']
"Part-time genius, full-time snack hunter","['parttime', 'genius', 'fulltime', 'snack', 'hunter']",🤷‍♂️No Clear Signal,[]
