bio,gender,age,city,platform
obsessed w shoes,Non-binary,44,Las Vegas,Bumble
Sweet but unpredictable. 🍬⚡,Non-binary,45,New York,Hinge
Gym rat with a soft spot for puppies.,Non-binary,34,Philadelphia,OkCupid
Dog mom looking for dog dad energy,Male,30,Philadelphia,CMB
probably late to everything,Female,37,Las Vegas,OkCupid
"I care too much, sometimes poorly.",Non-binary,45,Chicago,Bumble
Professional napper,Non-binary,28,Philadelphia,Bumble
"Loves beaches, disappears mid-weekend.",Female,38,LA,Bumble
gym & chill,Male,41,LA,Hinge
i love adventures,Male,28,Dallas,CMB
loyalty’s cute. money’s cuter,Non-binary,44,Houston,CMB
might ghost u,Male,23,Houston,OkCupid
i snack constantly,Male,32,LA,Bumble
sassy and smart,Female,36,New York,Bumble
pizza & coffee always,Female,22,Philadelphia,Hinge
love dogs,Male,26,San Fransisco,Tinder
just got out of something messy. keep that in mind,Female,34,Chicago,Bumble
"I’ll cook you dinner, then forget your birthday.",Female,28,LA,OkCupid
Here to steal your snacks and your heart,Male,26,Houston,Tinder
Professional napper,Male,40,New York,Hinge
late but dramatic,Non-binary,24,Las Vegas,Tinder
i overcommit & regret,Non-binary,21,Houston,OkCupid
"Loves animals, avoids serious talks.",Male,18,Chicago,OkCupid
dont talk 2 me,Non-binary,34,San Fransisco,Tinder
"Sweet, clingy, unpredictable. 🍬💥",Male,26,LA,Hinge
"if we vibe, we’ll thrive",Non-binary,42,Houston,Bumble
just vibin here,Non-binary,30,Las Vegas,Tinder
Introvert with social battery issues,Male,30,New York,Tinder
i don’t believe in “too sensitive”,Male,44,Chicago,Bumble
smol and mighty,Female,33,Dallas,OkCupid
"wants a connection, not a collection",Female,34,Philadelphia,Hinge
"Night owl, early riser on weekdays.",Non-binary,29,New York,Bumble
"my vibe is “i got you,” always",Female,22,Las Vegas,Bumble
overthinker & snack lover,Non-binary,30,LA,Tinder
i nap anywhere anytime,Non-binary,34,Dallas,CMB
I’m sweet… sometimes dangerously sweet.,Male,39,San Fransisco,OkCupid
love dogs more than ppl,Male,19,Houston,OkCupid
"no games. just vibes, stability, and shared Spotify playlists",Non-binary,33,Philadelphia,Bumble
I like soft people with sharp wit,Male,26,LA,CMB
I ghost for self-preservation.,Female,34,Houston,CMB
spicy but lonely,Male,36,San Fransisco,Bumble
love language = quality time & terrible jokes.,Male,19,Houston,Bumble
Therapist says i’m emotionally available now lol,Non-binary,37,Dallas,Hinge
Can quote every Marvel movie ever 🎥🦸‍♂️,Non-binary,28,LA,CMB
love pizza more than ppl,Male,42,San Fransisco,OkCupid
I laugh at my own jokes,Non-binary,39,Las Vegas,CMB
just vibin here,Male,43,LA,CMB
Always planning the next adventure 🌏✈️,Male,24,Chicago,OkCupid
"Loves karaoke, dancing, and ice cream runs.",Female,43,Chicago,OkCupid
literally tired,Male,31,Las Vegas,Tinder
could be clingy,Non-binary,22,Philadelphia,OkCupid
will hype you up and also remind you to hydrate,Male,41,Philadelphia,Bumble
"Recovering overthinker, open to new catastrophes",Female,30,Philadelphia,Hinge
I dance badly but confidently,Female,27,Dallas,Tinder
"Loves concerts, flaky.",Male,23,Philadelphia,Bumble
Loves karaoke and bad singing.,Female,25,Philadelphia,Tinder
"Flirting: chaotic, unplanned, cute",Non-binary,21,San Fransisco,Tinder
could be bad influence,Female,41,San Fransisco,CMB
might overthink,Female,40,San Fransisco,Tinder
netflix and pretend im productive,Non-binary,19,Philadelphia,CMB
"Loves pets, ghosted once.",Male,36,Chicago,CMB
"Love traveling, hate airport lines. ✈️",Female,43,LA,OkCupid
my brain never stops,Female,26,Philadelphia,Bumble
"Night owl, meme collector, chaos lover.",Female,42,Philadelphia,Tinder
"I overthink, but I try.",Female,29,San Fransisco,Tinder
chaotic & lovable,Male,20,Las Vegas,Hinge
Beach bum with a love for seafood.,Female,42,Las Vegas,OkCupid
"Fluent in sarcasm, memes, and awkward humor.",Non-binary,21,Chicago,Tinder
"I flirt with chaos, sometimes with people.",Male,42,Dallas,Tinder
"Fitness enthusiast, casual gamer.",Male,24,Las Vegas,Tinder
"Night owl, music addict, chaos seeker.",Male,40,San Fransisco,Tinder
i sing in the shower,Non-binary,35,Houston,OkCupid
i overthink everything,Female,42,New York,CMB
"I flirt shamelessly, think deeply.",Female,18,Chicago,OkCupid
"Dog whisperer, human negotiator",Female,34,Houston,Bumble
"coffee before work, always",Male,43,San Fransisco,CMB
sarcastic queen,Non-binary,18,New York,Hinge
Sarcasm is my love language.,Non-binary,28,Houston,Bumble
Flirting like it’s my full-time job,Male,37,Las Vegas,OkCupid
"I roast, then make cookies.",Male,29,Las Vegas,OkCupid
Fitness enthusiast with a love for chocolate.,Female,26,Dallas,Hinge
"Can cook 5-star meals, ghosted on last birthday.",Male,28,Philadelphia,OkCupid
pizza & chaos energy,Female,29,Philadelphia,Hinge
Obsessed with stars and night skies.,Female,27,Houston,Tinder
Just a kid at heart with a love for chaos 😏💖,Non-binary,25,Houston,Hinge
memes all day,Non-binary,31,New York,Hinge
I’m here to build something — not just pass time,Non-binary,18,LA,OkCupid
Currently ignoring adulthood creatively,Male,41,LA,Tinder
Currently training for a snack marathon,Male,21,Dallas,Bumble
"Coffee addict, bookworm, chaos seeker.",Male,45,Chicago,CMB
loud but soft,Female,39,Dallas,Bumble
Flirt level: expert,Male,20,Houston,Tinder
coffee > life,Male,41,Dallas,Hinge
dogs over humans,Female,24,Philadelphia,Bumble
never finishes books,Male,39,Philadelphia,Tinder
"Always has a sarcastic comment ready, occasionally sweet.",Female,44,Las Vegas,Bumble
chaotic neutral,Male,21,Philadelphia,Tinder
"Can be too honest, too fast. ⚡",Non-binary,33,Dallas,Bumble
i panic too often,Non-binary,37,Dallas,Hinge
"Gamer, avoids emotional depth.",Non-binary,20,San Fransisco,CMB
Beach walks > club nights.,Female,34,Chicago,OkCupid
Flirt like you mean it,Non-binary,19,San Fransisco,CMB
Flirt level: dangerously chaotic,Male,42,Dallas,OkCupid
caffeine first,Male,21,Houston,CMB
morning person? lol never,Male,18,New York,CMB
loyalty is my love language,Non-binary,41,Philadelphia,CMB
Obsessed with true crime and iced lattes.,Male,22,San Fransisco,OkCupid
love coffee but hate mornings,Non-binary,37,Las Vegas,OkCupid
might steal ur hoodie,Non-binary,38,New York,Tinder
Cuddly but has a wandering eye.,Non-binary,24,New York,OkCupid
Recovering overthinker,Non-binary,21,Las Vegas,Tinder
likes kisses more than texts,Non-binary,30,Chicago,Hinge
emo hours,Non-binary,21,Dallas,CMB
"Obsessed with music, hiking, and sunsets.",Male,40,LA,CMB
"Loves volunteering, avoids real problems.",Female,25,San Fransisco,OkCupid
Beach walks over city lights.,Male,41,Chicago,CMB
"Pizza enthusiast, people optional",Male,37,Philadelphia,Bumble
i overthink,Male,21,Dallas,OkCupid
binge watch everything,Non-binary,20,Philadelphia,Bumble
introverted extrovert,Non-binary,18,Las Vegas,Hinge
Loves midnight walks and starry skies.,Female,43,Las Vegas,Bumble
Professional daydreamer and night owl 🌙💭,Female,22,Las Vegas,Tinder
match me before i delete this app again,Female,41,Philadelphia,Tinder
"Fluent in sarcasm, terrible at texting back.",Non-binary,21,Philadelphia,CMB
emo but spicy,Male,42,New York,CMB
"i ghost, dont worry",Female,26,Houston,Tinder
might annoy u,Non-binary,24,New York,OkCupid
I’m sweet until someone crosses me.,Male,41,LA,Tinder
don’t ask “wyd” unless u got plans,Non-binary,26,New York,CMB
spicy but lonely,Male,40,Chicago,Hinge
loves dancing alone,Non-binary,37,San Fransisco,Hinge
terrible at small talk,Non-binary,24,New York,CMB
Obsessed with old movies.,Female,35,New York,CMB
"pizza > salads, fight me",Female,24,Houston,Tinder
LOVE dogs more than ppl,Male,22,San Fransisco,CMB
overthinker & napper,Non-binary,31,New York,Tinder
Loves sunrise hikes and sunset chases.,Non-binary,27,LA,Bumble
Gamer seeking a player 2 for life.,Female,20,San Fransisco,Hinge
single & spicy,Female,34,Las Vegas,CMB
i’m messy sometimes,Male,36,LA,OkCupid
Introvert seeking someone to share music and snacks with.,Non-binary,42,LA,OkCupid
pizza addict forever,Male,29,Dallas,CMB
lowkey chaotic,Male,40,Las Vegas,Hinge
"I roast, then hug it out.",Male,45,Philadelphia,Bumble
love dogs more than ppl,Female,24,LA,Hinge
gym vibes only,Non-binary,24,Las Vegas,Hinge
Obsessed with good vibes and bad decisions.,Non-binary,41,San Fransisco,Hinge
"Snack first, questions later",Female,33,Las Vegas,CMB
Loves cozy blankets and rainy days.,Male,36,LA,Bumble
loves random trips,Non-binary,19,Chicago,Hinge
obsessed w fashion,Male,39,San Fransisco,OkCupid
"Amateur baker, professional overthinker.",Male,27,Chicago,Bumble
"Amateur chef, professional overthinker.",Male,20,New York,Bumble
not toxic. just honest.,Non-binary,35,Philadelphia,Tinder
Introvert seeking someone to share music and silence with.,Non-binary,23,LA,Bumble
"Wine lover, flaky.",Non-binary,25,Chicago,Hinge
"Loves concerts, flakes often.",Female,32,Las Vegas,Hinge
"Foodie, ignores messages.",Non-binary,35,Philadelphia,Tinder
sunday morning > saturday night,Female,19,Las Vegas,OkCupid
I want someone to share quiet mornings & big dreams,Female,43,Houston,CMB
messy vibes 24/7,Non-binary,33,Philadelphia,CMB
nerd alert 🤓,Male,19,San Fransisco,Hinge
"Fun, flirty, slightly chaotic. ⚡💋",Non-binary,39,New York,Tinder
"Beach wanderer, mountain dreamer.",Male,39,LA,OkCupid
hope you like therapy jokes & emotional intelligence,Male,25,LA,CMB
"Obsessed with hiking, photography, and laughter.",Female,42,New York,Bumble
"Fluent in sarcasm, movie quotes, and ice cream.",Male,35,Chicago,CMB
Flirt dangerously,Female,30,New York,Bumble
"Cat lover, hates cuddles sometimes.",Female,34,San Fransisco,CMB
i talk too much omg,Male,25,Chicago,Bumble
"Coffee in one hand, memes in the other.",Female,36,Houston,Bumble
"Loves road trips, flaky with plans.",Non-binary,35,New York,CMB
i like sushi,Non-binary,41,Las Vegas,Bumble
let’s skip the small talk and build something big 💚,Female,45,Las Vegas,Bumble
lowkey savage,Non-binary,39,Las Vegas,OkCupid
i scream in car,Non-binary,38,Houston,Tinder
Loves ice cream and laughter.,Male,44,LA,OkCupid
loves dancing alone,Non-binary,45,Las Vegas,Bumble
lowkey dramatic,Male,33,Dallas,CMB
loves sunrises 🌅,Male,30,Las Vegas,Bumble
i eat snacks like a king,Male,32,Chicago,CMB
i overthink constantly,Non-binary,44,San Fransisco,OkCupid
"Bad at cooking, good at eating.",Female,26,Dallas,CMB
"Foodie, flaky.",Non-binary,30,Dallas,Hinge
i scream sometimes,Female,41,Philadelphia,Bumble
maybe your type maybe not,Female,39,New York,Bumble
overthink & snack,Female,37,Dallas,Tinder
quiet but laughs,Female,43,Houston,Tinder
say something stupid and i’m out,Non-binary,34,Las Vegas,OkCupid
"Coffee in one hand, chaos in the other.",Male,20,Houston,OkCupid
i hate small talk. let’s trauma bond,Male,38,San Fransisco,OkCupid
"Amateur painter, full-time daydreamer, chaos seeker.",Non-binary,39,Dallas,OkCupid
"Flirting: chaotic, unplanned, cute",Non-binary,18,Chicago,Tinder
Recovering perfectionist,Male,29,Chicago,CMB
Dog mom looking for dog dad energy,Male,28,LA,CMB
Recovering overthinker seeking chaos partner,Non-binary,41,LA,Tinder
just here till i find someone worse,Male,31,Houston,Hinge
"Will flirt, ghost, then come back like nothing happened",Female,41,Dallas,Hinge
Gamer seeking co-pilot for life.,Female,18,Philadelphia,Hinge
obsessed with coffee & bad puns,Male,32,New York,Bumble
"Loves music festivals, ghosted after one night.",Female,20,LA,Hinge
loves adventures,Male,39,Dallas,Bumble
Adventure seeker fueled by caffeine ✈️☕,Non-binary,23,LA,CMB
"Night owl, meme collector, chocolate lover.",Non-binary,33,LA,Bumble
i lie sometimes,Non-binary,28,Houston,Tinder
match me if u love red flags in glitter,Non-binary,44,New York,OkCupid
coffee & pizza forever,Male,33,LA,Tinder
match me if ur not boring plsSSS,Non-binary,19,Houston,Bumble
GYM & TACOS,Male,45,Houston,Bumble
I will check your following list,Male,32,New York,Hinge
overthink queen,Female,38,LA,Bumble
messy bun & chill,Female,30,Philadelphia,CMB
"Fitness enthusiast, secretly judgmental.",Non-binary,32,Philadelphia,Hinge
lowkey flirty,Male,37,LA,Hinge
pizza > life,Female,39,Chicago,Tinder
"i ghost, deal with it",Non-binary,35,Dallas,Hinge
chaotic energy,Non-binary,40,Houston,CMB
"I bring flowers, not drama",Non-binary,45,Chicago,Hinge
"I flirt, then regret slightly.",Male,39,LA,CMB
"grown, healing, and open to something honest",Male,27,Houston,Hinge
"if we fight, I win. always.",Male,31,San Fransisco,CMB
"I ghost, then show up mysteriously.",Male,34,Las Vegas,Tinder
obsessed w candles,Non-binary,45,Houston,OkCupid
loves dancing alone,Non-binary,25,LA,Hinge
love languages: sarcasm & sabotage,Male,25,Philadelphia,OkCupid
dont swipe right if you hate dogs,Female,23,Houston,Bumble
"lover of rainy days, big hugs, and personal growth",Male,22,Dallas,Bumble
"Fluent in sarcasm, memes, and chaos.",Female,45,Chicago,Bumble
i swipe right for food,Female,38,Dallas,Hinge
"looking for vibes, not titles",Male,26,LA,Tinder
Netflix binges > everything else 🎬😴,Female,27,Philadelphia,Bumble
lol,Male,37,Philadelphia,CMB
"Professional overthinker, amateur cook.",Female,44,Philadelphia,Hinge
"Pizza > People, prove me wrong",Male,45,Philadelphia,Bumble
"Yoga enthusiast, but a terrible communicator.",Non-binary,28,Chicago,Tinder
Flirting: chaotic but cute,Male,33,Houston,OkCupid
Currently training for a snack marathon,Female,44,Philadelphia,OkCupid
chaotic energy vibes,Male,30,Houston,CMB
tacos & memes,Female,33,New York,Bumble
i overtext sometimes,Non-binary,23,Las Vegas,Tinder
Loves live music and random adventures.,Non-binary,36,Chicago,Hinge
Loves dancing badly but freely.,Non-binary,30,Dallas,OkCupid
I binge-watch and overthink simultaneously,Female,26,Dallas,CMB
Can be clingy… but in a cute way. 😘,Male,39,San Fransisco,Bumble
Currently ignoring all responsibilities,Non-binary,39,Chicago,Tinder
"Tea over coffee, most days.",Female,43,San Fransisco,OkCupid
"I care too much, ghost too often.",Female,26,Philadelphia,Bumble
I ghost to keep things interesting.,Female,37,Las Vegas,Hinge
meh whatever,Male,23,LA,Hinge
loves hugs more,Non-binary,38,New York,Tinder
Beach bum with a love for books and chocolate.,Female,26,LA,Hinge
music is life,Female,27,Philadelphia,CMB
Loves beaches and mountain trails.,Non-binary,39,San Fransisco,Hinge
"you text dry, i delete the convo",Female,29,San Fransisco,Bumble
"I’ll binge, complain, then nap.",Non-binary,19,Houston,Tinder
Professional napper seeking partner in naps,Female,21,San Fransisco,Bumble
Loves random adventures and spontaneous trips.,Female,25,New York,Hinge
lowkey romantic. highkey stable.,Female,23,Dallas,Hinge
Coffee addict looking for someone who laughs at bad jokes.,Male,37,Houston,Hinge
might cry today,Non-binary,31,Chicago,CMB
gym & memes,Female,45,Philadelphia,Hinge
meh,Female,22,Las Vegas,CMB
extroverted introvert,Male,33,Philadelphia,Hinge
lowkey dramatic,Female,33,Chicago,CMB
drama free unless provoked,Female,44,Philadelphia,CMB
Adventure seeker with a soft spot for puppies.,Male,36,Las Vegas,Hinge
Loves trivia and random facts.,Male,27,Dallas,OkCupid
hot girl with no emotional regulation,Non-binary,31,Philadelphia,Bumble
Obsessed with smoothie bowls and sunsets.,Male,40,Houston,OkCupid
Professional meme sharer,Female,45,Las Vegas,Tinder
coffee > responsibilities,Non-binary,23,San Fransisco,Hinge
i live for memes,Male,29,Houston,OkCupid
bored here,Non-binary,19,Dallas,Hinge
no boring convos or average kisses,Non-binary,42,Las Vegas,CMB
Professional napper,Female,36,San Fransisco,Bumble
"Loves beach trips, forgetful.",Non-binary,33,Chicago,Bumble
"Talks big, commits small. 😬",Non-binary,33,Chicago,OkCupid
Beach bum with a Netflix addiction.,Non-binary,20,Philadelphia,Tinder
"Obsessed with stars, bad at directions. ✨🗺️",Female,44,LA,Bumble
Flirt like you mean it,Male,20,Dallas,CMB
binge eat then regret,Male,31,LA,Hinge
Bookworm with a love for fantasy.,Female,41,Dallas,Hinge
trying to stay grounded but I daydream too much,Female,26,Dallas,Hinge
"Professional overthinker, amateur chef 🤯🍳",Non-binary,23,Houston,OkCupid
chaotic queen,Female,35,New York,Bumble
"Dog mom, chaos enthusiast",Female,40,Chicago,Hinge
I cry at movies… sometimes happily. 😭,Female,34,LA,Bumble
Trying to adult but failing spectacularly 🤦‍♂️😂,Female,44,Houston,OkCupid
anxious-attachment-in-recovery 🫠 but self-aware,Male,26,Las Vegas,Hinge
I give advice I don’t follow.,Non-binary,19,New York,Bumble
Introvert with occasional extrovert episodes,Non-binary,31,San Fransisco,Bumble
Will judge your memes silently,Non-binary,43,Chicago,Hinge
i swipe right for humor,Female,38,Las Vegas,OkCupid
Hopeless romantic and proud of it 💔😎,Female,20,San Fransisco,Bumble
Professional meme curator,Male,38,Las Vegas,CMB
"I roast, then apologize immediately.",Female,31,Las Vegas,Tinder
Professional chaos coordinator,Non-binary,26,New York,Tinder
Caffeine-fueled overthinker,Female,23,New York,Bumble
just here for a good time 😏,Male,38,Houston,Bumble
"Hiking, coding, and pretending I know wine. 🍷",Male,37,Philadelphia,Bumble
I laugh at my own jokes,Male,32,Philadelphia,CMB
i scream at my plants sometimes,Male,42,LA,Hinge
"currently into pottery, quiet mornings, and better boundaries",Male,41,Dallas,Hinge
"Beach hair, don’t care, tacos in hand.",Male,33,New York,Tinder
Sarcasm enthusiast,Female,19,Philadelphia,OkCupid
"Coffee addict, flaky mid-week.",Female,31,Philadelphia,Bumble
Sarcasm and memes: my love language,Male,19,Chicago,Bumble
binge watcher & eater,Non-binary,26,Chicago,CMB
"Loves road trips, sometimes judgmental.",Male,40,Dallas,OkCupid
i like food,Non-binary,21,Dallas,Hinge
"Coffee addict, avoids tough conversations.",Male,26,Dallas,Hinge
"Work hard, nap harder.",Female,37,Dallas,Bumble
sarcasm & fun combined,Male,41,San Fransisco,Bumble
"Gym rat, ignores texts.",Female,21,Houston,Bumble
love pizza,Non-binary,41,New York,Bumble
"Adventure seeker, struggles with routine.",Male,20,Dallas,CMB
chill but crazy,Non-binary,33,New York,Tinder
tacos & naps,Non-binary,43,LA,OkCupid
"Sarcastic, sweet, and slightly chaotic.",Male,38,New York,OkCupid
messy & fun vibes,Female,19,Philadelphia,Bumble
Swipe right if you love dogs and bad puns 🐕😂,Non-binary,34,San Fransisco,OkCupid
420 friendly not sorry,Male,19,Philadelphia,Tinder
tacos please,Female,26,San Fransisco,Tinder
"Loves karaoke, dance-offs, and ice cream runs.",Non-binary,34,Houston,OkCupid
"Fluent in sarcasm, memes, and awkward situations.",Non-binary,24,Chicago,Hinge
"Dog whisperer, human negotiator",Female,30,New York,CMB
laughs too loud,Male,34,Houston,OkCupid
give me butterflies or give me money,Male,33,Chicago,OkCupid
sunny days > rainy days,Non-binary,38,San Fransisco,Bumble
lowkey savage,Non-binary,28,Houston,CMB
awkward penguin,Female,45,New York,CMB
Amateur photographer seeking scenic partner.,Female,20,LA,Hinge
messy bun & chill,Non-binary,32,New York,Bumble
I overanalyze emojis and texts daily.,Female,42,San Fransisco,CMB
"Coffee lover, flaky.",Non-binary,30,San Fransisco,Tinder
loves horror movies,Male,24,San Fransisco,Tinder
Adventure seeker who hates Mondays.,Male,35,LA,Tinder
learning to cook things that aren’t just pasta,Non-binary,23,Chicago,Hinge
Always chasing sunsets and good vibes 🌅✨,Non-binary,33,Dallas,Tinder
"Always laughing, sometimes crying.",Non-binary,39,Chicago,CMB
"Amateur musician, professional shower singer.",Male,43,Houston,Hinge
music & memes forever,Non-binary,39,Las Vegas,CMB
"Likes mornings, hates people. 🌞🙃",Female,21,Houston,OkCupid
Obsessed with board games and strategy.,Male,21,Las Vegas,Bumble
i like coffee strong,Female,44,Las Vegas,Bumble
loves sarcasm,Female,39,Houston,Bumble
introvert with occasional extrovert moments,Male,30,Chicago,OkCupid
"I binge, nap, repeat.",Non-binary,34,Houston,CMB
Obsessed with quirky socks.,Female,32,Chicago,OkCupid
Professional Netflix marathoner,Non-binary,38,Chicago,Bumble
"Fitness buff, occasionally clingy.",Non-binary,37,Houston,OkCupid
Will judge your memes silently,Male,21,LA,OkCupid
"Fluent in sarcasm, memes, and chaos.",Non-binary,35,New York,OkCupid
"Night owl, meme collector, chaos enthusiast.",Female,22,Houston,Hinge
loves chocolate 🍫,Non-binary,42,New York,Bumble
emojis everywhere 😂,Female,29,Dallas,Hinge
chaotic good. emphasis on chaotic,Female,23,Philadelphia,CMB
emojis speak 4 me,Non-binary,18,Dallas,CMB
here 4 your pizza,Non-binary,45,San Fransisco,CMB
"Loves books, cats, and coffee.",Male,30,San Fransisco,Bumble
Night owl seeking midnight chats.,Female,45,Chicago,Hinge
"Red flags? nah baby, i’m the parade",Female,26,New York,CMB
JUST here to chill,Male,45,Las Vegas,CMB
"Snack first, questions later",Female,22,San Fransisco,Tinder
dating me is fun until it’s not,Non-binary,36,Houston,Bumble
Professional chaos coordinator,Non-binary,23,New York,Hinge
"Sweet chaos, occasional chill.",Non-binary,31,Houston,Tinder
bad at texting,Non-binary,18,New York,Bumble
being silly is part of my emotional availability,Male,33,Philadelphia,Bumble
chaos incarnate,Female,43,Houston,CMB
shy but savage,Non-binary,18,New York,CMB
"I love hiking, hate social obligations.",Non-binary,24,LA,CMB
highkey dramatic,Female,23,LA,Hinge
i sing badly,Female,32,LA,Bumble
messy but fun,Male,28,Philadelphia,CMB
passion project: trying every croissant in the city 🥐,Female,43,LA,OkCupid
chaotic but loyal,Male,26,San Fransisco,CMB
"Music nerd, meme dealer, occasional philosopher. 🎧😂",Non-binary,31,Dallas,Tinder
Sarcasm enthusiast,Non-binary,19,Houston,Bumble
love sarcasm,Male,30,Philadelphia,CMB
"I flirt, then ghost creatively.",Female,32,Philadelphia,Tinder
chaotic brain energy,Female,44,Houston,CMB
i love hugs,Male,44,Philadelphia,CMB
i judge ur music taste,Female,42,Houston,CMB
"Travel bug, commitment-phobic.",Male,26,Chicago,Bumble
i scream sometimes,Non-binary,34,Dallas,CMB
"Dog mom, chaos queen.",Male,33,LA,Tinder
My dog is my wingman,Male,25,San Fransisco,CMB
lowkey clingy,Male,31,San Fransisco,CMB
"Netflix binger, snack provider",Non-binary,43,Houston,CMB
Dog mom seeking dog dad,Female,35,Chicago,Tinder
probably thinking rn,Female,23,Houston,OkCupid
"Beach days, chocolate nights 🌊🍫",Male,45,Houston,Bumble
"Pizza enthusiast, people optional",Female,19,LA,OkCupid
obsessed w stars ✨,Non-binary,18,Chicago,OkCupid
Might flirt with your friend… but harmlessly. 😉,Female,38,Chicago,CMB
Humor is my coping skill. Also therapy.,Female,31,San Fransisco,Hinge
Beach vibes and good music only 🌊🎶,Non-binary,24,New York,CMB
"Talks self-improvement, ignores feelings.",Non-binary,33,San Fransisco,CMB
casual vibes only,Male,25,Chicago,Hinge
naps > anything else,Male,36,LA,Bumble
Flirt level: expert,Female,19,Chicago,Bumble
Looking for someone to argue about Marvel movies with.,Female,29,New York,Hinge
"I’m fun, but I have trust issues.",Male,40,LA,Tinder
I like long walks… to the fridge,Non-binary,28,Chicago,Tinder
"kinda shy, kinda savage",Male,42,Philadelphia,OkCupid
"Dog mom, chaos enthusiast",Female,32,Dallas,Tinder
"If you like board games & deep talks, match me 🎲",Non-binary,21,New York,Hinge
"Cat lover, ghosted friends.",Non-binary,31,Chicago,OkCupid
"Boardwalks, beaches, and breezy evenings.",Male,37,Chicago,Tinder
i like to procrastinate,Female,37,Dallas,CMB
I trip over flat surfaces,Non-binary,24,Houston,OkCupid
i ghost but loyal,Female,21,Dallas,OkCupid
i nap 12 hrs sometimes,Male,24,San Fransisco,Bumble
"I trip over nothing, impressively",Male,20,Houston,Hinge
work hard nap harder,Female,33,LA,Hinge
overthinker alert 🚨,Non-binary,30,Las Vegas,Tinder
I may ghost you… unless you have pizza,Male,18,New York,OkCupid
I laugh at my own jokes constantly,Female,36,LA,Tinder
Gamer with a love for retro consoles.,Non-binary,24,Las Vegas,CMB
introvert but extrovert at parties,Non-binary,24,Dallas,Tinder
chaotic but lovable,Non-binary,39,Philadelphia,OkCupid
"usually late, always dramatic",Female,31,Philadelphia,Bumble
Always planning the next spontaneous adventure.,Female,25,Houston,OkCupid
Amateur painter seeking inspiration and snacks.,Male,41,San Fransisco,Tinder
I overthink and overtext.,Non-binary,39,Dallas,Bumble
chaotic brain alert,Non-binary,32,Chicago,CMB
coffee addict forever,Male,20,Las Vegas,Hinge
Currently avoiding adulthood creatively,Non-binary,38,Dallas,Tinder
love sarcasm,Male,18,Chicago,Hinge
Weekend road tripper seeking co-pilot.,Non-binary,19,LA,Bumble
love horror and pizza,Female,18,New York,Tinder
"I care too much, sometimes in the wrong ways.",Male,21,Philadelphia,Hinge
love horror movies,Male,42,Dallas,OkCupid
just a human,Non-binary,26,Chicago,Tinder
Amateur painter seeking inspiration and laughter.,Non-binary,33,New York,Hinge
"Yoga lover, ignores texts.",Male,20,Dallas,CMB
could be bad influence,Non-binary,44,Chicago,Bumble
Looking for the kind of love that feels safe,Male,18,Chicago,CMB
bored here,Non-binary,24,Las Vegas,Hinge
binge watcher & eater,Non-binary,21,San Fransisco,Tinder
I binge shows to avoid feelings.,Male,25,San Fransisco,Hinge
will catch feelings but pretend i didn’t,Female,42,San Fransisco,Tinder
"I whisper to plants, they ignore me",Male,39,San Fransisco,Bumble
Pizza > Everything else,Male,40,Philadelphia,Bumble
pizza > salad fight me,Female,41,New York,Bumble
chaotic brain vibes,Non-binary,37,Las Vegas,OkCupid
Currently avoiding adulthood creatively,Non-binary,28,LA,CMB
"Professional overthinker, chaos magnet",Non-binary,38,Dallas,CMB
Professional napper seeking partner in naps,Non-binary,38,Houston,Bumble
"Coffee, sarcasm, repeat.",Female,29,Dallas,Tinder
I laugh at my own jokes constantly,Male,20,Las Vegas,Tinder
Professional meme sharer,Non-binary,33,Las Vegas,OkCupid
I’ll tease you… then cuddle you. 😈🤗,Male,37,Houston,OkCupid
Fitness enthusiast with a sweet tooth.,Female,33,San Fransisco,CMB
coffee > sleep,Non-binary,19,Dallas,OkCupid
"Professional overthinker, amateur adult",Male,35,Philadelphia,Tinder
"Gamer, flaky with friends.",Male,24,Dallas,Tinder
Professional overthinker,Non-binary,32,Las Vegas,Hinge
I laugh at my own jokes constantly,Male,39,Dallas,CMB
i talk too much sometimes,Female,23,Chicago,Hinge
Flirt level: dangerously charming,Male,22,San Fransisco,Hinge
Flirt dangerously,Non-binary,27,New York,Bumble
"Coffee, chaos, and cuddles.",Male,33,Houston,Bumble
chaotic mood,Female,21,Chicago,OkCupid
emo kid but fun,Female,19,Houston,CMB
"Flirts like a pro, cooks like a noob",Female,30,San Fransisco,Bumble
sarcasm is my love language,Non-binary,42,LA,OkCupid
casual & fun,Male,34,Dallas,OkCupid
bored rn,Male,25,Houston,Hinge
"Flirt dangerously, nap professionally",Male,40,San Fransisco,Hinge
"Loves dancing, shy in real life.",Male,39,Houston,Bumble
can cook 2 pasta dishes only,Male,41,New York,Hinge
chaotic mood,Female,29,Philadelphia,CMB
Caffeine-dependent disaster,Male,24,Philadelphia,Bumble
"I care too little, then too much.",Male,34,Philadelphia,Bumble
emotionally regulated 97% of the time. The rest is vibes.,Male,26,San Fransisco,Hinge
introverted chaos vibes,Female,25,Dallas,OkCupid
I dance like chaos incarnate,Female,21,Philadelphia,OkCupid
Gym rat who can cook a mean pasta.,Female,40,Philadelphia,Tinder
Dog whisperer,Male,43,Dallas,Hinge
i swear a lot,Non-binary,36,Dallas,Tinder
ask me idc,Male,45,Dallas,Bumble
"Obsessed with hiking, photography, and laughter.",Non-binary,18,Dallas,Bumble
"Cat parent, avoids tough talks.",Non-binary,20,Houston,OkCupid
