bio,gender,age,city,gender,platform,filtered_tokens,lemmatized_tokens,flag_classification,reason
lazy & cute,Male,36,Chicago,Male,Bumble,"['lazy', 'cute']","['lazy', 'cute']",🤷‍♂️No Clear Signal,
"I laugh at sarcasm, love deep talks.",Female,22,Chicago,Female,OkCupid,"['laugh', 'sarcasm', 'love', 'deep', 'talks']","['laugh', 'sarcasm', 'love', 'deep', 'talk']",🚩Red Flag,"sarcasm, deep, laugh, love"
Movie nerd seeking co-pilot in life.,Female,32,LA,Female,CMB,"['movie', 'nerd', 'seeking', 'copilot', 'life']","['movie', 'nerd', 'seek', 'life']",🌿Green Flag,life
"Obsessed with photography, street food, and coffee.",Non-binary,26,Dallas,Non-binary,CMB,"['obsessed', 'photography', 'street', 'food', 'coffee']","['obsess', 'photography', 'street', 'food', 'coffee']",🚩Red Flag,"obsess, coffee, coffee"
i sing in shower sometimes,Male,29,Chicago,Male,CMB,"['sing', 'shower', 'sometimes']","['sing', 'shower', 'sometimes']",🙂Mixed Flag,sometimes
cant adult today,Non-binary,23,Philadelphia,Non-binary,CMB,"['cant', 'adult', 'today']","['cant', 'adult', 'today']",🤷‍♂️No Clear Signal,
"Professional overthinker, amateur chef 🤯🍳",Non-binary,24,Dallas,Non-binary,Bumble,"['professional', 'overthinker', 'amateur', 'chef']","['professional', 'overthinker', 'amateur', 'chef']",🌿Green Flag,"professional, amateur"
"Will prank you, then apologize sincerely. 😈🙏",Non-binary,35,San Fransisco,Non-binary,Tinder,"['prank', 'apologize', 'sincerely']","['prank', 'apologize', 'sincerely']",🌿Green Flag,apologize
loves getting lost,Non-binary,40,Philadelphia,Non-binary,Hinge,"['loves', 'getting', 'lost']","['love', 'get', 'lose']",🌿Green Flag,love
coder vibes,Male,19,Houston,Male,Tinder,"['coder', 'vibes']","['coder', 'vibe']",🤷‍♂️No Clear Signal,
i nap anywhere tbh,Male,39,LA,Male,OkCupid,"['nap', 'anywhere', 'tbh']","['nap', 'anywhere', 'tbh']",🌿Green Flag,nap
emojis speak 4 me,Non-binary,28,Houston,Non-binary,OkCupid,"['emojis', 'speak']","['emojis', 'speak']",🤷‍♂️No Clear Signal,
Beach bum with a love for books and chocolate.,Non-binary,29,Houston,Non-binary,CMB,"['beach', 'bum', 'love', 'books', 'chocolate']","['beach', 'bum', 'love', 'book', 'chocolate']",🌿Green Flag,love
Professional shower singer 🎤,Male,22,Houston,Male,Tinder,"['professional', 'shower', 'singer']","['professional', 'shower', 'singer']",🌿Green Flag,professional
"Professional overthinker, amateur adult",Non-binary,29,Houston,Non-binary,Bumble,"['professional', 'overthinker', 'amateur', 'adult']","['professional', 'overthinker', 'amateur', 'adult']",🌿Green Flag,"professional, amateur"
netflix over people,Female,32,Houston,Female,OkCupid,"['netflix', 'people']","['netflix', 'people']",🤷‍♂️No Clear Signal,
"if you’re not into drama or games, HEY 👋",Male,35,Chicago,Male,Hinge,"['youre', 'drama', 'games', 'hey']","['drama', 'game', 'hey']",🚩Red Flag,drama
Currently avoiding adulthood at all costs,Female,23,San Fransisco,Female,OkCupid,"['currently', 'avoiding', 'adulthood', 'costs']","['currently', 'avoid', 'adulthood', 'cost']",🙂Mixed Flag,currently
"Beach hair, don’t care, tacos in hand.",Non-binary,35,Dallas,Non-binary,Hinge,"['beach', 'hair', 'dont', 'care', 'tacos', 'hand']","['beach', 'hair', 'care', 'tacos', 'hand']",🤷‍♂️No Clear Signal,
awkward penguin,Female,27,Houston,Female,Bumble,"['awkward', 'penguin']","['awkward', 'penguin']",🤷‍♂️No Clear Signal,
I laugh at my own jokes way too much 😂🤦‍♂️,Female,21,Las Vegas,Female,Tinder,"['laugh', 'jokes', 'way', 'much']","['laugh', 'joke', 'way', 'much']",🌿Green Flag,"laugh, much"
Just here to pet your dog,Female,18,Philadelphia,Female,OkCupid,"['pet', 'dog']","['pet', 'dog']",🌿Green Flag,"dog, dog"
Sarcasm is my love language,Female,30,LA,Female,OkCupid,"['sarcasm', 'love', 'language']","['sarcasm', 'love', 'language']",🚩Red Flag,"sarcasm, love"
Professional napper seeking partner in naps,Male,33,Dallas,Male,OkCupid,"['professional', 'napper', 'seeking', 'partner', 'naps']","['professional', 'napper', 'seek', 'partner', 'nap']",🌿Green Flag,"professional, nap"
Currently ignoring adulthood creatively,Non-binary,42,Houston,Non-binary,Tinder,"['currently', 'ignoring', 'adulthood', 'creatively']","['currently', 'ignore', 'adulthood', 'creatively']",🙂Mixed Flag,currently
"I roast, then hug it out.",Male,22,Chicago,Male,CMB,"['roast', 'hug']","['roast', 'hug']",🤷‍♂️No Clear Signal,
lowkey dramatic af,Non-binary,32,Dallas,Non-binary,CMB,"['lowkey', 'dramatic', 'af']","['lowkey', 'dramatic', 'af']",🚩Red Flag,dramatic
lazy but ambitious,Female,28,San Fransisco,Female,OkCupid,"['lazy', 'ambitious']","['lazy', 'ambitious']",🌿Green Flag,ambitious
Movie lover seeking critique buddy.,Non-binary,22,New York,Non-binary,Bumble,"['movie', 'lover', 'seeking', 'critique', 'buddy']","['movie', 'lover', 'seek', 'critique', 'buddy']",🌿Green Flag,lover
i laugh at my own jokes,Female,18,Philadelphia,Female,CMB,"['laugh', 'jokes']","['laugh', 'joke']",🌿Green Flag,laugh
my playlist is my mood,Female,41,Las Vegas,Female,OkCupid,"['playlist', 'mood']","['playlist', 'mood']",🤷‍♂️No Clear Signal,
"Pizza first, life second",Male,35,San Fransisco,Male,Bumble,"['pizza', 'first', 'life', 'second']","['pizza', 'first', 'life', 'second']",🌿Green Flag,"life, pizza, pizza"
lol,Non-binary,34,Dallas,Non-binary,OkCupid,['lol'],['lol'],🤷‍♂️No Clear Signal,
plant parent 🌿 bookworm 📚 part-time optimist,Male,28,New York,Male,OkCupid,"['plant', 'parent', 'bookworm', 'parttime', 'optimist']","['plant', 'parent', 'bookworm', 'optimist']",🌿Green Flag,bookworm
"Gym is life, but pizza is love.",Male,38,Las Vegas,Male,Tinder,"['gym', 'life', 'pizza', 'love']","['gym', 'life', 'pizza', 'love']",🌿Green Flag,"life, love, pizza, pizza"
"kinda shy, kinda savage",Male,40,LA,Male,Bumble,"['kinda', 'shy', 'kinda', 'savage']","['kinda', 'shy', 'kinda', 'savage']",🤷‍♂️No Clear Signal,
"Here for a good time, not a long lecture",Male,27,Las Vegas,Male,Hinge,"['good', 'time', 'long', 'lecture']","['good', 'time', 'long', 'lecture']",🤷‍♂️No Clear Signal,
chaotic but fun,Female,33,Las Vegas,Female,CMB,"['chaotic', 'fun']","['chaotic', 'fun']",🙂Mixed Flag,chaotic
loves dogs more,Male,27,Chicago,Male,Hinge,"['loves', 'dogs']","['love', 'dog']",🌿Green Flag,"dog, love, dog"
don’t fall for me. i’m unhinged,Female,42,Las Vegas,Female,OkCupid,"['dont', 'fall', 'im', 'unhinged']","['fall', 'unhinge']",🤷‍♂️No Clear Signal,
coffee & pizza forever,Female,36,San Fransisco,Female,Tinder,"['coffee', 'pizza', 'forever']","['coffee', 'pizza', 'forever']",🌿Green Flag,"coffee, pizza, coffee, pizza"
coffee > responsibilities,Female,39,New York,Female,Bumble,"['coffee', 'responsibilities']","['coffee', 'responsibility']",🌿Green Flag,"coffee, coffee"
"coffee in hand, chaos in mind",Non-binary,22,Philadelphia,Non-binary,Tinder,"['coffee', 'hand', 'chaos', 'mind']","['coffee', 'hand', 'chaos', 'mind']",🚩Red Flag,"chaos, coffee, coffee, chaos"
Will judge your memes silently,Non-binary,43,Dallas,Non-binary,Hinge,"['judge', 'memes', 'silently']","['judge', 'meme', 'silently']",🌿Green Flag,meme
dogs are everything,Male,36,Dallas,Male,Tinder,"['dogs', 'everything']","['dog', 'everything']",🌿Green Flag,"dog, dog"
"I won’t ghost you, even if we don’t click",Female,41,Houston,Female,Hinge,"['wont', 'ghost', 'even', 'dont', 'click']","['ghost', 'even', 'click']",🚩Red Flag,"ghost, ghost, click"
i bite,Female,32,Dallas,Female,Tinder,['bite'],['bite'],🤷‍♂️No Clear Signal,
messy but cute,Non-binary,28,San Fransisco,Non-binary,Hinge,"['messy', 'cute']","['messy', 'cute']",🚩Red Flag,"messy, messy, messy"
"pizza is life, fight me",Female,40,Dallas,Female,OkCupid,"['pizza', 'life', 'fight']","['pizza', 'life', 'fight']",🚩Red Flag,"fight, fight, life, pizza, pizza"
Currently avoiding adulthood at all costs,Female,21,Philadelphia,Female,OkCupid,"['currently', 'avoiding', 'adulthood', 'costs']","['currently', 'avoid', 'adulthood', 'cost']",🙂Mixed Flag,currently
introvert vibes forever,Female,41,Houston,Female,Hinge,"['introvert', 'vibes', 'forever']","['introvert', 'vibe', 'forever']",🙂Mixed Flag,introvert
chaotic queen,Non-binary,33,Houston,Non-binary,Bumble,"['chaotic', 'queen']","['chaotic', 'queen']",🙂Mixed Flag,chaotic
Green thumb but forgets anniversaries.,Male,19,New York,Male,OkCupid,"['green', 'thumb', 'forgets', 'anniversaries']","['green', 'thumb', 'forgets', 'anniversary']",🤷‍♂️No Clear Signal,
"Book lover, meme enthusiast, and pizza addict 📚😂🍕",Non-binary,22,Philadelphia,Non-binary,OkCupid,"['book', 'lover', 'meme', 'enthusiast', 'pizza', 'addict']","['book', 'lover', 'meme', 'enthusiast', 'pizza', 'addict']",🌿Green Flag,"enthusiast, pizza, lover, pizza, meme"
Professional chaos coordinator,Male,39,Dallas,Male,Tinder,"['professional', 'chaos', 'coordinator']","['professional', 'chaos', 'coordinator']",🚩Red Flag,"chaos, professional, chaos"
"work hard, nap harder",Male,35,Chicago,Male,Hinge,"['work', 'hard', 'nap', 'harder']","['work', 'hard', 'nap', 'harder']",🌿Green Flag,nap
Dog whisperer seeking dog human,Male,21,San Fransisco,Male,OkCupid,"['dog', 'whisperer', 'seeking', 'dog', 'human']","['dog', 'whisperer', 'seek', 'dog', 'human']",🌿Green Flag,"dog, human, dog, human"
hates ppl sometimes,Non-binary,27,LA,Non-binary,Hinge,"['hates', 'ppl', 'sometimes']","['hate', 'ppl', 'sometimes']",🚩Red Flag,"hate, sometimes"
"sometimes shy, sometimes extra",Non-binary,18,Dallas,Non-binary,OkCupid,"['sometimes', 'shy', 'sometimes', 'extra']","['sometimes', 'shy', 'sometimes', 'extra']",🙂Mixed Flag,sometimes
love coffee but hate mornings,Male,30,New York,Male,OkCupid,"['love', 'coffee', 'hate', 'mornings']","['love', 'coffee', 'hate', 'morning']",🚩Red Flag,"hate, morning, coffee, love, coffee"
Collector of vinyls and memories.,Male,37,LA,Male,OkCupid,"['collector', 'vinyls', 'memories']","['collector', 'vinyl', 'memory']",🤷‍♂️No Clear Signal,
messy bun all day,Male,44,Houston,Male,Bumble,"['messy', 'bun', 'day']","['messy', 'bun', 'day']",🚩Red Flag,"messy, messy, messy"
i write random stuff,Male,25,LA,Male,Bumble,"['write', 'random', 'stuff']","['write', 'random', 'stuff']",🤷‍♂️No Clear Signal,
"Passionate about charity, forgets small promises.",Female,32,Philadelphia,Female,Bumble,"['passionate', 'charity', 'forgets', 'small', 'promises']","['passionate', 'charity', 'forget', 'small', 'promise']",🌿Green Flag,small
Pizza > Everything else,Female,29,Las Vegas,Female,Bumble,"['pizza', 'everything', 'else']","['pizza', 'everything', 'else']",🌿Green Flag,"pizza, pizza"
"Cat lover, avoids deep chats.",Non-binary,20,LA,Non-binary,Bumble,"['cat', 'lover', 'avoids', 'deep', 'chats']","['cat', 'lover', 'avoids', 'deep', 'chat']",🌿Green Flag,"deep, lover"
I’ll hold the door open and your hand too,Non-binary,28,Dallas,Non-binary,Bumble,"['ill', 'hold', 'door', 'open', 'hand']","['hold', 'door', 'open', 'hand']",🤷‍♂️No Clear Signal,
"Loves karaoke, dancing, and spontaneous trips.",Non-binary,19,Philadelphia,Non-binary,Hinge,"['loves', 'karaoke', 'dancing', 'spontaneous', 'trips']","['love', 'karaoke', 'dance', 'spontaneous', 'trip']",🌿Green Flag,"dance, love, dance"
Professional Netflix marathoner,Female,37,LA,Female,Hinge,"['professional', 'netflix', 'marathoner']","['professional', 'netflix', 'marathoner']",🌿Green Flag,professional
Obsessed with trying new foods and failing at cooking 🍣🔥,Male,38,LA,Male,CMB,"['obsessed', 'trying', 'new', 'foods', 'failing', 'cooking']","['obsess', 'try', 'new', 'food', 'fail', 'cooking']",🚩Red Flag,obsess
"I’ll steal your fries, maybe your heart.",Male,24,Chicago,Male,Tinder,"['ill', 'steal', 'fries', 'maybe', 'heart']","['steal', 'fry', 'maybe', 'heart']",🚩Red Flag,steal
Fluent in memes and sarcasm.,Non-binary,36,San Fransisco,Non-binary,CMB,"['fluent', 'memes', 'sarcasm']","['fluent', 'meme', 'sarcasm']",🚩Red Flag,"sarcasm, fluent, meme, fluent"
"Gamer, foodie, coffee addict.",Male,34,LA,Male,Bumble,"['gamer', 'foodie', 'coffee', 'addict']","['gamer', 'foodie', 'coffee', 'addict']",🌿Green Flag,"coffee, coffee"
Fluent in sarcasm and movie quotes.,Female,25,Dallas,Female,Bumble,"['fluent', 'sarcasm', 'movie', 'quotes']","['fluent', 'sarcasm', 'movie', 'quote']",🚩Red Flag,"sarcasm, fluent, fluent"
"Flirt dangerously, nap professionally",Non-binary,43,Las Vegas,Non-binary,Tinder,"['flirt', 'dangerously', 'nap', 'professionally']","['flirt', 'dangerously', 'nap', 'professionally']",🚩Red Flag,"flirt, flirt, nap"
chaotic mood,Non-binary,42,Philadelphia,Non-binary,Hinge,"['chaotic', 'mood']","['chaotic', 'mood']",🙂Mixed Flag,chaotic
the bar is low but still not stepping over it,Non-binary,26,Philadelphia,Non-binary,Bumble,"['bar', 'low', 'still', 'stepping']","['bar', 'low', 'still', 'step']",🙂Mixed Flag,low
"I care too much, then disappear.",Male,24,San Fransisco,Male,OkCupid,"['care', 'much', 'disappear']","['care', 'much', 'disappear']",🙂Mixed Flag,much
DramaFreeQueen,Non-binary,18,LA,Non-binary,Bumble,['dramafreequeen'],['dramafreequeen'],🤷‍♂️No Clear Signal,
"i ghost, come back later",Non-binary,20,LA,Non-binary,Tinder,"['ghost', 'come', 'back', 'later']","['ghost', 'come', 'back', 'later']",🚩Red Flag,"ghost, ghost"
"Amateur painter, professional daydreamer.",Female,35,Houston,Female,Bumble,"['amateur', 'painter', 'professional', 'daydreamer']","['amateur', 'painter', 'professional', 'daydreamer']",🌿Green Flag,"professional, amateur"
Professional overthinker,Male,45,San Fransisco,Male,CMB,"['professional', 'overthinker']","['professional', 'overthinker']",🌿Green Flag,professional
i eat cereal for dinner,Male,32,New York,Male,Tinder,"['eat', 'cereal', 'dinner']","['eat', 'cereal', 'dinner']",🤷‍♂️No Clear Signal,
match me if u love red flags in glitter,Female,39,LA,Female,OkCupid,"['match', 'u', 'love', 'red', 'flags', 'glitter']","['match', 'love', 'red', 'flag', 'glitter']",🚩Red Flag,"flag, love"
Pizza > Everything else,Female,39,Dallas,Female,Bumble,"['pizza', 'everything', 'else']","['pizza', 'everything', 'else']",🌿Green Flag,"pizza, pizza"
loves coffee shops,Female,20,Philadelphia,Female,Hinge,"['loves', 'coffee', 'shops']","['love', 'coffee', 'shop']",🌿Green Flag,"coffee, love, coffee"
"I overanalyze everything, including this bio.",Male,34,Dallas,Male,OkCupid,"['overanalyze', 'everything', 'including', 'bio']","['overanalyze', 'everything', 'include', 'bio']",🙂Mixed Flag,overanalyze
i overthink everything,Non-binary,30,LA,Non-binary,Bumble,"['overthink', 'everything']","['overthink', 'everything']",🚩Red Flag,"overthink, overthink, overthink"
loves dancing alone,Non-binary,24,Houston,Non-binary,Bumble,"['loves', 'dancing', 'alone']","['love', 'dance', 'alone']",🌿Green Flag,"dance, love, dance"
loves sunrises 🌅,Non-binary,33,San Fransisco,Non-binary,Tinder,"['loves', 'sunrises']","['love', 'sunrise']",🌿Green Flag,love
Will steal your fries,Female,28,Houston,Female,Bumble,"['steal', 'fries']","['steal', 'fry']",🚩Red Flag,steal
always hungry,Female,37,Dallas,Female,OkCupid,"['always', 'hungry']","['always', 'hungry']",🌿Green Flag,always
🍕 > all else,Male,37,Philadelphia,Male,Bumble,['else'],['else'],🤷‍♂️No Clear Signal,
meh,Non-binary,34,Philadelphia,Non-binary,Bumble,['meh'],['meh'],🤷‍♂️No Clear Signal,
I overthink and nap simultaneously,Female,19,San Fransisco,Female,OkCupid,"['overthink', 'nap', 'simultaneously']","['overthink', 'nap', 'simultaneously']",🚩Red Flag,"overthink, overthink, nap, overthink"
i scream sometimes,Female,39,Philadelphia,Female,OkCupid,"['scream', 'sometimes']","['scream', 'sometimes']",🙂Mixed Flag,sometimes
Professional snack hunter,Male,29,Philadelphia,Male,Hinge,"['professional', 'snack', 'hunter']","['professional', 'snack', 'hunter']",🌿Green Flag,professional
Currently avoiding adulthood,Male,30,San Fransisco,Male,OkCupid,"['currently', 'avoiding', 'adulthood']","['currently', 'avoid', 'adulthood']",🙂Mixed Flag,currently
"Fitness junkie, avoids tough talks.",Male,22,New York,Male,CMB,"['fitness', 'junkie', 'avoids', 'tough', 'talks']","['fitness', 'junkie', 'avoids', 'tough', 'talk']",🤷‍♂️No Clear Signal,
Currently training for a snack marathon,Female,40,Chicago,Female,Hinge,"['currently', 'training', 'snack', 'marathon']","['currently', 'train', 'snack', 'marathon']",🙂Mixed Flag,currently
nerd alert 🤓,Non-binary,45,Chicago,Non-binary,Bumble,"['nerd', 'alert']","['nerd', 'alert']",🤷‍♂️No Clear Signal,
Amateur chef seeking taste tester for life.,Female,31,Philadelphia,Female,Hinge,"['amateur', 'chef', 'seeking', 'taste', 'tester', 'life']","['amateur', 'chef', 'seek', 'taste', 'tester', 'life']",🌿Green Flag,"life, amateur"
binge watch everything,Male,29,LA,Male,CMB,"['binge', 'watch', 'everything']","['binge', 'watch', 'everything']",🤷‍♂️No Clear Signal,
"i ghost, dont worry",Female,30,Houston,Female,Tinder,"['ghost', 'dont', 'worry']","['ghost', 'dont', 'worry']",🚩Red Flag,"ghost, ghost, dont"
Flirt level: dangerously charming,Male,29,Philadelphia,Male,Hinge,"['flirt', 'level', 'dangerously', 'charming']","['flirt', 'level', 'dangerously', 'charm']",🚩Red Flag,"flirt, flirt"
"love memes, hate fake ppl",Male,18,Houston,Male,Hinge,"['love', 'memes', 'hate', 'fake', 'ppl']","['love', 'meme', 'hate', 'fake', 'ppl']",🚩Red Flag,"hate, love, meme"
Bookworm with a party streak.,Non-binary,27,Philadelphia,Non-binary,Tinder,"['bookworm', 'party', 'streak']","['bookworm', 'party', 'streak']",🌿Green Flag,bookworm
i sing badly but happy,Non-binary,29,Las Vegas,Non-binary,Hinge,"['sing', 'badly', 'happy']","['sing', 'badly', 'happy']",🤷‍♂️No Clear Signal,
"Pizza > salad, fight me 🍕😎",Female,29,San Fransisco,Female,CMB,"['pizza', 'salad', 'fight']","['pizza', 'salad', 'fight']",🚩Red Flag,"fight, fight, pizza, pizza"
Sarcasm enthusiast,Male,27,Las Vegas,Male,OkCupid,"['sarcasm', 'enthusiast']","['sarcasm', 'enthusiast']",🚩Red Flag,"sarcasm, enthusiast"
"I steal fries, not hearts… usually",Male,32,LA,Male,CMB,"['steal', 'fries', 'hearts', 'usually']","['steal', 'fry', 'usually']",🚩Red Flag,steal
"Talks about self-care, ignores partner’s feelings.",Male,45,LA,Male,CMB,"['talks', 'selfcare', 'ignores', 'partners', 'feelings']","['talk', 'ignore', 'partner', 'feeling']",🚩Red Flag,feeling
"Can’t parallel park, but can parallel snack",Female,35,Philadelphia,Female,Bumble,"['cant', 'parallel', 'park', 'parallel', 'snack']","['parallel', 'park', 'parallel', 'snack']",🤷‍♂️No Clear Signal,
"tiktok addict, proud",Male,20,LA,Male,Hinge,"['tiktok', 'addict', 'proud']","['tiktok', 'addict', 'proud']",🤷‍♂️No Clear Signal,
just another human,Non-binary,24,LA,Non-binary,Hinge,"['another', 'human']","['another', 'human']",🌿Green Flag,"human, human"
Can quote every Marvel movie ever 🎥🦸‍♂️,Female,41,Philadelphia,Female,CMB,"['quote', 'every', 'marvel', 'movie', 'ever']","['quote', 'every', 'marvel', 'movie', 'ever']",🤷‍♂️No Clear Signal,
sarcasm queen forever,Non-binary,32,LA,Non-binary,Hinge,"['sarcasm', 'queen', 'forever']","['sarcasm', 'queen', 'forever']",🚩Red Flag,sarcasm
obsessed w reality tv,Female,41,San Fransisco,Female,OkCupid,"['obsessed', 'w', 'reality', 'tv']","['obsess', 'reality', 'tv']",🚩Red Flag,obsess
caffeine & chaos,Non-binary,31,Dallas,Non-binary,OkCupid,"['caffeine', 'chaos']","['caffeine', 'chaos']",🚩Red Flag,"chaos, chaos"
honestly lost,Non-binary,43,Las Vegas,Non-binary,OkCupid,"['honestly', 'lost']","['honestly', 'lose']",🤷‍♂️No Clear Signal,
introvert vibes forever,Female,32,Chicago,Female,OkCupid,"['introvert', 'vibes', 'forever']","['introvert', 'vibe', 'forever']",🙂Mixed Flag,introvert
Obsessed with vintage clothing finds.,Non-binary,27,New York,Non-binary,OkCupid,"['obsessed', 'vintage', 'clothing', 'finds']","['obsess', 'vintage', 'clothing', 'find']",🚩Red Flag,obsess
"Reads constantly, ghosting pro.",Non-binary,23,Philadelphia,Non-binary,OkCupid,"['reads', 'constantly', 'ghosting', 'pro']","['read', 'constantly', 'ghost', 'pro']",🚩Red Flag,"ghost, ghost"
Recovering chaos magnet,Female,43,Houston,Female,Bumble,"['recovering', 'chaos', 'magnet']","['recover', 'chaos', 'magnet']",🚩Red Flag,"chaos, chaos"
I may overanalyze your texts,Female,41,Las Vegas,Female,Bumble,"['may', 'overanalyze', 'texts']","['may', 'overanalyze', 'text']",🙂Mixed Flag,overanalyze
Currently training for a snack marathon,Non-binary,31,Philadelphia,Non-binary,Hinge,"['currently', 'training', 'snack', 'marathon']","['currently', 'train', 'snack', 'marathon']",🙂Mixed Flag,currently
"Talks self-improvement, ignores feelings.",Female,41,LA,Female,Bumble,"['talks', 'selfimprovement', 'ignores', 'feelings']","['talk', 'ignores', 'feeling']",🚩Red Flag,feeling
pizza and chill,Male,31,LA,Male,OkCupid,"['pizza', 'chill']","['pizza', 'chill']",🌿Green Flag,"chill, chill, pizza, pizza"
I binge shows to avoid life.,Male,22,LA,Male,Hinge,"['binge', 'shows', 'avoid', 'life']","['binge', 'show', 'avoid', 'life']",🌿Green Flag,life
naps are sacred,Female,44,Dallas,Female,CMB,"['naps', 'sacred']","['nap', 'sacred']",🌿Green Flag,nap
"Love adventures, fear mundane life.",Female,36,Philadelphia,Female,Tinder,"['love', 'adventures', 'fear', 'mundane', 'life']","['love', 'adventure', 'fear', 'mundane', 'life']",🌿Green Flag,"life, love"
coffee > responsibilities,Male,37,San Fransisco,Male,CMB,"['coffee', 'responsibilities']","['coffee', 'responsibility']",🌿Green Flag,"coffee, coffee"
lowkey savage,Female,20,Chicago,Female,Bumble,"['lowkey', 'savage']","['lowkey', 'savage']",🤷‍♂️No Clear Signal,
i talk 2 myself,Non-binary,22,Las Vegas,Non-binary,Tinder,['talk'],['talk'],🤷‍♂️No Clear Signal,
Will judge your playlist quietly,Non-binary,24,Las Vegas,Non-binary,CMB,"['judge', 'playlist', 'quietly']","['judge', 'playlist', 'quietly']",🤷‍♂️No Clear Signal,
chaos queen,Female,27,Houston,Female,OkCupid,"['chaos', 'queen']","['chaos', 'queen']",🚩Red Flag,"chaos, chaos"
i overthink,Non-binary,33,Las Vegas,Non-binary,OkCupid,['overthink'],['overthink'],🚩Red Flag,"overthink, overthink, overthink"
Just here for laughter and bad jokes 😂😏,Non-binary,45,New York,Non-binary,OkCupid,"['laughter', 'bad', 'jokes']","['laughter', 'bad', 'joke']",🚩Red Flag,"bad, bad, bad"
like anime and stuff,Non-binary,34,Chicago,Non-binary,Tinder,"['like', 'anime', 'stuff']","['like', 'anime', 'stuff']",🙂Mixed Flag,like
introvert energy,Female,28,Philadelphia,Female,Bumble,"['introvert', 'energy']","['introvert', 'energy']",🙂Mixed Flag,introvert
pizza & chaos forever,Male,20,New York,Male,Bumble,"['pizza', 'chaos', 'forever']","['pizza', 'chaos', 'forever']",🚩Red Flag,"chaos, pizza, pizza, chaos"
coffee & chaos vibes,Male,36,Chicago,Male,Bumble,"['coffee', 'chaos', 'vibes']","['coffee', 'chaos', 'vibe']",🚩Red Flag,"chaos, coffee, coffee, chaos"
I may delete TikToks but not my charm,Non-binary,42,Las Vegas,Non-binary,Tinder,"['may', 'delete', 'tiktoks', 'charm']","['may', 'delete', 'tiktoks', 'charm']",🙂Mixed Flag,delete
"Fluent in sarcasm, terrible at texting back.",Female,30,San Fransisco,Female,Tinder,"['fluent', 'sarcasm', 'terrible', 'texting', 'back']","['fluent', 'sarcasm', 'terrible', 'texting', 'back']",🚩Red Flag,"sarcasm, fluent, fluent"
i hate small talk. let’s trauma bond,Non-binary,20,LA,Non-binary,Hinge,"['hate', 'small', 'talk', 'lets', 'trauma', 'bond']","['hate', 'small', 'talk', 'let', 'trauma', 'bond']",🚩Red Flag,"trauma, hate, small"
Optimist with dark humor.,Female,18,Las Vegas,Female,OkCupid,"['optimist', 'dark', 'humor']","['optimist', 'dark', 'humor']",🤷‍♂️No Clear Signal,
Beach bum with a love for seafood.,Female,31,New York,Female,Bumble,"['beach', 'bum', 'love', 'seafood']","['beach', 'bum', 'love', 'seafood']",🌿Green Flag,love
love sarcasm more than humans,Female,38,Chicago,Female,Tinder,"['love', 'sarcasm', 'humans']","['love', 'sarcasm', 'human']",🚩Red Flag,"sarcasm, human, love, human"
pizza > life,Male,26,San Fransisco,Male,Bumble,"['pizza', 'life']","['pizza', 'life']",🌿Green Flag,"life, pizza, pizza"
just a vibe,Male,31,San Fransisco,Male,Bumble,['vibe'],['vibe'],🤷‍♂️No Clear Signal,
chaotic brain forever,Female,23,Dallas,Female,Tinder,"['chaotic', 'brain', 'forever']","['chaotic', 'brain', 'forever']",🙂Mixed Flag,"chaotic, brain"
bad at small talk,Female,35,Dallas,Female,OkCupid,"['bad', 'small', 'talk']","['bad', 'small', 'talk']",🚩Red Flag,"bad, bad, bad, small"
overthinker vibes,Female,32,Philadelphia,Female,Tinder,"['overthinker', 'vibes']","['overthinker', 'vibe']",🤷‍♂️No Clear Signal,
i swear a lot,Female,40,Chicago,Female,OkCupid,"['swear', 'lot']","['swear', 'lot']",🤷‍♂️No Clear Signal,
"Yoga enthusiast, but a terrible communicator.",Male,36,LA,Male,OkCupid,"['yoga', 'enthusiast', 'terrible', 'communicator']","['yoga', 'enthusiast', 'terrible', 'communicator']",🌿Green Flag,enthusiast
just vibing,Male,42,New York,Male,CMB,['vibing'],['vibing'],🤷‍♂️No Clear Signal,
Flirting like it’s my full-time job,Non-binary,22,Houston,Non-binary,Tinder,"['flirting', 'like', 'fulltime', 'job']","['flirt', 'like', 'job']",🚩Red Flag,"flirt, flirt, like"
Professional napper,Female,24,Houston,Female,OkCupid,"['professional', 'napper']","['professional', 'napper']",🌿Green Flag,professional
"if we vibe, we’ll thrive",Female,23,Dallas,Female,OkCupid,"['vibe', 'well', 'thrive']","['vibe', 'thrive']",🌿Green Flag,thrive
love sarcasm,Non-binary,44,Las Vegas,Non-binary,Hinge,"['love', 'sarcasm']","['love', 'sarcasm']",🚩Red Flag,"sarcasm, love"
Introverted extrovert,Male,30,Dallas,Male,Bumble,"['introverted', 'extrovert']","['introvert', 'extrovert']",🙂Mixed Flag,introvert
swipe right if u like chaos,Non-binary,27,Las Vegas,Non-binary,Tinder,"['swipe', 'right', 'u', 'like', 'chaos']","['swipe', 'right', 'like', 'chaos']",🚩Red Flag,"chaos, chaos, like"
loves midnight snacks,Female,35,Chicago,Female,CMB,"['loves', 'midnight', 'snacks']","['love', 'midnight', 'snack']",🌿Green Flag,love
probably online rn,Non-binary,33,LA,Non-binary,Bumble,"['probably', 'online', 'rn']","['probably', 'online', 'rn']",🤷‍♂️No Clear Signal,
