bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
Always planning the next travel adventure.,always planning the next travel adventure,"['always', 'planning', 'the', 'next', 'travel', 'adventure']","['always', 'planning', 'next', 'travel', 'adventure']","['always', 'plan', 'next', 'travel', 'adventure']"
Dog park regular seeking playdate partner.,dog park regular seeking playdate partner,"['dog', 'park', 'regular', 'seeking', 'playdate', 'partner']","['dog', 'park', 'regular', 'seeking', 'playdate', 'partner']","['dog', 'park', 'regular', 'seek', 'playdate', 'partner']"
naps > responsibilities,naps  responsibilities,"['naps', 'responsibilities']","['naps', 'responsibilities']","['nap', 'responsibility']"
gym & memes,gym  memes,"['gym', 'memes']","['gym', 'memes']","['gym', 'meme']"
Professional napper seeking partner in naps,professional napper seeking partner in naps,"['professional', 'napper', 'seeking', 'partner', 'in', 'naps']","['professional', 'napper', 'seeking', 'partner', 'naps']","['professional', 'napper', 'seek', 'partner', 'nap']"
"Fitness junkie, chocolate enthusiast.",fitness junkie chocolate enthusiast,"['fitness', 'junkie', 'chocolate', 'enthusiast']","['fitness', 'junkie', 'chocolate', 'enthusiast']","['fitness', 'junkie', 'chocolate', 'enthusiast']"
Travel bug with a caffeine addiction ✈️☕,travel bug with a caffeine addiction,"['travel', 'bug', 'with', 'a', 'caffeine', 'addiction']","['travel', 'bug', 'caffeine', 'addiction']","['travel', 'bug', 'caffeine', 'addiction']"
Looking for a partner in crime… and snacks,looking for a partner in crime and snacks,"['looking', 'for', 'a', 'partner', 'in', 'crime', 'and', 'snacks']","['looking', 'partner', 'crime', 'snacks']","['look', 'partner', 'snack']"
pizza addict & napper,pizza addict  napper,"['pizza', 'addict', 'napper']","['pizza', 'addict', 'napper']","['pizza', 'addict', 'napper']"
Fitness lover with a love for tacos.,fitness lover with a love for tacos,"['fitness', 'lover', 'with', 'a', 'love', 'for', 'tacos']","['fitness', 'lover', 'love', 'tacos']","['fitness', 'lover', 'love', 'taco']"
"Fitness freak, sometimes judgmental.",fitness freak sometimes judgmental,"['fitness', 'freak', 'sometimes', 'judgmental']","['fitness', 'freak', 'sometimes', 'judgmental']","['fitness', 'freak', 'sometimes', 'judgmental']"
my coping mechanism is flirting,my coping mechanism is flirting,"['my', 'coping', 'mechanism', 'is', 'flirting']","['coping', 'mechanism', 'flirting']","['cop', 'mechanism', 'flirt']"
"Tech geek, struggles with empathy.",tech geek struggles with empathy,"['tech', 'geek', 'struggles', 'with', 'empathy']","['tech', 'geek', 'struggles', 'empathy']","['tech', 'geek', 'struggle', 'empathy']"
sarcasm queen,sarcasm queen,"['sarcasm', 'queen']","['sarcasm', 'queen']","['sarcasm', 'queen']"
likes late night texts,likes late night texts,"['likes', 'late', 'night', 'texts']","['likes', 'late', 'night', 'texts']","['like', 'late', 'night', 'text']"
"Likes to win, hates losing. 🏆😤",likes to win hates losing,"['likes', 'to', 'win', 'hates', 'losing']","['likes', 'win', 'hates', 'losing']","['like', 'win', 'hate', 'lose']"
emojis > humans,emojis  humans,"['emojis', 'humans']","['emojis', 'humans']","['emojis', 'human']"
Movie marathons and messy hair.,movie marathons and messy hair,"['movie', 'marathons', 'and', 'messy', 'hair']","['movie', 'marathons', 'messy', 'hair']","['movie', 'marathon', 'messy', 'hair']"
obsessed with reality tv,obsessed with reality tv,"['obsessed', 'with', 'reality', 'tv']","['obsessed', 'reality', 'tv']","['obsess', 'reality', 'tv']"
i sing badly but happy,i sing badly but happy,"['i', 'sing', 'badly', 'but', 'happy']","['sing', 'badly', 'happy']","['sing', 'badly', 'happy']"
dont take me too seriously,dont take me too seriously,"['dont', 'take', 'me', 'too', 'seriously']","['dont', 'take', 'seriously']","['dont', 'take', 'seriously']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
"sometimes spontaneous, mostly lazy",sometimes spontaneous mostly lazy,"['sometimes', 'spontaneous', 'mostly', 'lazy']","['sometimes', 'spontaneous', 'mostly', 'lazy']","['sometimes', 'spontaneous', 'mostly', 'lazy']"
Will steal your fries and leave politely,will steal your fries and leave politely,"['will', 'steal', 'your', 'fries', 'and', 'leave', 'politely']","['steal', 'fries', 'leave', 'politely']","['steal', 'fry', 'leave', 'politely']"
looking for my next mistake,looking for my next mistake,"['looking', 'for', 'my', 'next', 'mistake']","['looking', 'next', 'mistake']","['look', 'next', 'mistake']"
emojis > humans,emojis  humans,"['emojis', 'humans']","['emojis', 'humans']","['emojis', 'human']"
Fluent in movie quotes and bad jokes.,fluent in movie quotes and bad jokes,"['fluent', 'in', 'movie', 'quotes', 'and', 'bad', 'jokes']","['fluent', 'movie', 'quotes', 'bad', 'jokes']","['fluent', 'movie', 'quote', 'bad', 'joke']"
nap queen,nap queen,"['nap', 'queen']","['nap', 'queen']","['nap', 'queen']"
"I trip over flat surfaces, impressively",i trip over flat surfaces impressively,"['i', 'trip', 'over', 'flat', 'surfaces', 'impressively']","['trip', 'flat', 'surfaces', 'impressively']","['trip', 'flat', 'surface', 'impressively']"
"Loves volunteering, avoids real problems.",loves volunteering avoids real problems,"['loves', 'volunteering', 'avoids', 'real', 'problems']","['loves', 'volunteering', 'avoids', 'real', 'problems']","['love', 'volunteer', 'avoids', 'real', 'problem']"
Pizza and sarcasm keep me alive.,pizza and sarcasm keep me alive,"['pizza', 'and', 'sarcasm', 'keep', 'me', 'alive']","['pizza', 'sarcasm', 'keep', 'alive']","['pizza', 'sarcasm', 'keep', 'alive']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
"Loves hiking, ghosted during trip.",loves hiking ghosted during trip,"['loves', 'hiking', 'ghosted', 'during', 'trip']","['loves', 'hiking', 'ghosted', 'trip']","['love', 'hike', 'ghost', 'trip']"
i break stuff by accident,i break stuff by accident,"['i', 'break', 'stuff', 'by', 'accident']","['break', 'stuff', 'accident']","['break', 'stuff', 'accident']"
you’ll never have to guess with me,youll never have to guess with me,"['youll', 'never', 'have', 'to', 'guess', 'with', 'me']","['youll', 'never', 'guess']","['never', 'guess']"
"Will steal your fries, politely",will steal your fries politely,"['will', 'steal', 'your', 'fries', 'politely']","['steal', 'fries', 'politely']","['steal', 'fry', 'politely']"
Could be toxic… or just misunderstood. 🤷‍♂️,could be toxic or just misunderstood,"['could', 'be', 'toxic', 'or', 'just', 'misunderstood']","['could', 'toxic', 'misunderstood']","['could', 'misunderstand']"
"Adventure seeker, flaky.",adventure seeker flaky,"['adventure', 'seeker', 'flaky']","['adventure', 'seeker', 'flaky']","['adventure', 'seeker', 'flaky']"
"Snack provider, chaos enthusiast",snack provider chaos enthusiast,"['snack', 'provider', 'chaos', 'enthusiast']","['snack', 'provider', 'chaos', 'enthusiast']","['snack', 'provider', 'chaos', 'enthusiast']"
Hopeless romantic looking for a partner in crime.,hopeless romantic looking for a partner in crime,"['hopeless', 'romantic', 'looking', 'for', 'a', 'partner', 'in', 'crime']","['hopeless', 'romantic', 'looking', 'partner', 'crime']","['hopeless', 'romantic', 'look', 'partner', 'crime']"
"Cat parent, ghosted recently.",cat parent ghosted recently,"['cat', 'parent', 'ghosted', 'recently']","['cat', 'parent', 'ghosted', 'recently']","['cat', 'parent', 'ghost', 'recently']"
obsessed w memes,obsessed w memes,"['obsessed', 'w', 'memes']","['obsessed', 'w', 'memes']","['obsess', 'meme']"
sometimes too honest,sometimes too honest,"['sometimes', 'too', 'honest']","['sometimes', 'honest']","['sometimes', 'honest']"
Currently ignoring responsibilities,currently ignoring responsibilities,"['currently', 'ignoring', 'responsibilities']","['currently', 'ignoring', 'responsibilities']","['currently', 'ignore', 'responsibility']"
"Adventure seeker, struggles with routine.",adventure seeker struggles with routine,"['adventure', 'seeker', 'struggles', 'with', 'routine']","['adventure', 'seeker', 'struggles', 'routine']","['adventure', 'seeker', 'struggle', 'routine']"
love sarcasm,love sarcasm,"['love', 'sarcasm']","['love', 'sarcasm']","['love', 'sarcasm']"
messy but cute,messy but cute,"['messy', 'but', 'cute']","['messy', 'cute']","['messy', 'cute']"
emo kid but fun,emo kid but fun,"['emo', 'kid', 'but', 'fun']","['emo', 'kid', 'fun']","['emo', 'kid', 'fun']"
binge watcher & eater,binge watcher  eater,"['binge', 'watcher', 'eater']","['binge', 'watcher', 'eater']","['binge', 'watcher', 'eater']"
drinks tea constantly,drinks tea constantly,"['drinks', 'tea', 'constantly']","['drinks', 'tea', 'constantly']","['drink', 'tea', 'constantly']"
"i forget stuff, forgive pls",i forget stuff forgive pls,"['i', 'forget', 'stuff', 'forgive', 'pls']","['forget', 'stuff', 'forgive', 'pls']","['forget', 'stuff', 'forgive', 'pls']"
chaotic neutral,chaotic neutral,"['chaotic', 'neutral']","['chaotic', 'neutral']","['chaotic', 'neutral']"
Karaoke king in the shower 🎤🚿,karaoke king in the shower,"['karaoke', 'king', 'in', 'the', 'shower']","['karaoke', 'king', 'shower']","['karaoke', 'king', 'shower']"
"overthinker, over-eater",overthinker overeater,"['overthinker', 'overeater']","['overthinker', 'overeater']",['overthinker']
DOGS > HUMANS,dogs  humans,"['dogs', 'humans']","['dogs', 'humans']","['dog', 'human']"
match me if you like problems,match me if you like problems,"['match', 'me', 'if', 'you', 'like', 'problems']","['match', 'like', 'problems']","['match', 'like', 'problem']"
i love toxic men. it’s a hobby,i love toxic men its a hobby,"['i', 'love', 'toxic', 'men', 'its', 'a', 'hobby']","['love', 'toxic', 'men', 'hobby']","['love', 'toxic', 'men', 'hobby']"
introvert probs,introvert probs,"['introvert', 'probs']","['introvert', 'probs']","['introvert', 'probs']"
my mom likes u first,my mom likes u first,"['my', 'mom', 'likes', 'u', 'first']","['mom', 'likes', 'u', 'first']","['mom', 'like', 'first']"
I love animals more than humans.,i love animals more than humans,"['i', 'love', 'animals', 'more', 'than', 'humans']","['love', 'animals', 'humans']","['love', 'animal', 'human']"
"Sweet chaos, occasional chill.",sweet chaos occasional chill,"['sweet', 'chaos', 'occasional', 'chill']","['sweet', 'chaos', 'occasional', 'chill']","['sweet', 'chaos', 'occasional', 'chill']"
Will annoy you… but you’ll love it. 😈,will annoy you but youll love it,"['will', 'annoy', 'you', 'but', 'youll', 'love', 'it']","['annoy', 'youll', 'love']","['annoy', 'love']"
"Obsessed with dogs, coffee, and spontaneity.",obsessed with dogs coffee and spontaneity,"['obsessed', 'with', 'dogs', 'coffee', 'and', 'spontaneity']","['obsessed', 'dogs', 'coffee', 'spontaneity']","['obsessed', 'dog', 'coffee', 'spontaneity']"
here 4 bad decisions,here  bad decisions,"['here', 'bad', 'decisions']","['bad', 'decisions']","['bad', 'decision']"
single but thriving,single but thriving,"['single', 'but', 'thriving']","['single', 'thriving']","['single', 'thriving']"
lowkey savage,lowkey savage,"['lowkey', 'savage']","['lowkey', 'savage']","['lowkey', 'savage']"
pizza & naps forever,pizza  naps forever,"['pizza', 'naps', 'forever']","['pizza', 'naps', 'forever']","['pizza', 'nap', 'forever']"
sleepy & fun,sleepy  fun,"['sleepy', 'fun']","['sleepy', 'fun']","['sleepy', 'fun']"
Loves sunrise hikes and sunset chases.,loves sunrise hikes and sunset chases,"['loves', 'sunrise', 'hikes', 'and', 'sunset', 'chases']","['loves', 'sunrise', 'hikes', 'sunset', 'chases']","['love', 'sunrise', 'hike', 'sunset', 'chase']"
"Night owl, meme hoarder, snack lover.",night owl meme hoarder snack lover,"['night', 'owl', 'meme', 'hoarder', 'snack', 'lover']","['night', 'owl', 'meme', 'hoarder', 'snack', 'lover']","['night', 'owl', 'meme', 'hoarder', 'snack', 'lover']"
"Fitness lover, chocolate enthusiast.",fitness lover chocolate enthusiast,"['fitness', 'lover', 'chocolate', 'enthusiast']","['fitness', 'lover', 'chocolate', 'enthusiast']","['fitness', 'lover', 'chocolate', 'enthusiast']"
Professional napper,professional napper,"['professional', 'napper']","['professional', 'napper']","['professional', 'napper']"
dreams 2 travel everywhere,dreams  travel everywhere,"['dreams', 'travel', 'everywhere']","['dreams', 'travel', 'everywhere']","['dream', 'travel', 'everywhere']"
"sometimes extra, always real",sometimes extra always real,"['sometimes', 'extra', 'always', 'real']","['sometimes', 'extra', 'always', 'real']","['sometimes', 'extra', 'always', 'real']"
Amateur chef with a taste for adventure.,amateur chef with a taste for adventure,"['amateur', 'chef', 'with', 'a', 'taste', 'for', 'adventure']","['amateur', 'chef', 'taste', 'adventure']","['amateur', 'chef', 'taste', 'adventure']"
my playlist is messy,my playlist is messy,"['my', 'playlist', 'is', 'messy']","['playlist', 'messy']","['playlist', 'messy']"
hope you like therapy jokes & emotional intelligence,hope you like therapy jokes  emotional intelligence,"['hope', 'you', 'like', 'therapy', 'jokes', 'emotional', 'intelligence']","['hope', 'like', 'therapy', 'jokes', 'emotional', 'intelligence']","['hope', 'like', 'therapy', 'joke', 'emotional', 'intelligence']"
"i swear a lot, deal with it",i swear a lot deal with it,"['i', 'swear', 'a', 'lot', 'deal', 'with', 'it']","['swear', 'lot', 'deal']","['swear', 'lot', 'deal']"
"Loves festivals, ghosts after one night.",loves festivals ghosts after one night,"['loves', 'festivals', 'ghosts', 'after', 'one', 'night']","['loves', 'festivals', 'ghosts', 'one', 'night']","['love', 'festival', 'ghost', 'one', 'night']"
Bookworm looking for a plot twist in life.,bookworm looking for a plot twist in life,"['bookworm', 'looking', 'for', 'a', 'plot', 'twist', 'in', 'life']","['bookworm', 'looking', 'plot', 'twist', 'life']","['bookworm', 'look', 'plot', 'twist', 'life']"
love dogs & memes,love dogs  memes,"['love', 'dogs', 'memes']","['love', 'dogs', 'memes']","['love', 'dog', 'meme']"
Bookworm with a love for coffee.,bookworm with a love for coffee,"['bookworm', 'with', 'a', 'love', 'for', 'coffee']","['bookworm', 'love', 'coffee']","['bookworm', 'love', 'coffee']"
I ghost when I overthink.,i ghost when i overthink,"['i', 'ghost', 'when', 'i', 'overthink']","['ghost', 'overthink']","['ghost', 'overthink']"
I run on sarcasm and chaos,i run on sarcasm and chaos,"['i', 'run', 'on', 'sarcasm', 'and', 'chaos']","['run', 'sarcasm', 'chaos']","['run', 'sarcasm', 'chaos']"
let’s be weird and honest and deeply safe,lets be weird and honest and deeply safe,"['lets', 'be', 'weird', 'and', 'honest', 'and', 'deeply', 'safe']","['lets', 'weird', 'honest', 'deeply', 'safe']","['let', 'weird', 'honest', 'deeply', 'safe']"
pizza > pasta,pizza  pasta,"['pizza', 'pasta']","['pizza', 'pasta']","['pizza', 'pasta']"
"Smiles, sarcasm, and bad dance moves 😁💃",smiles sarcasm and bad dance moves,"['smiles', 'sarcasm', 'and', 'bad', 'dance', 'moves']","['smiles', 'sarcasm', 'bad', 'dance', 'moves']","['smile', 'sarcasm', 'bad', 'dance', 'move']"
🌊 beach bum,beach bum,"['beach', 'bum']","['beach', 'bum']","['beach', 'bum']"
probably online rn,probably online rn,"['probably', 'online', 'rn']","['probably', 'online', 'rn']","['probably', 'online', 'rn']"
match me if you know your birth chart,match me if you know your birth chart,"['match', 'me', 'if', 'you', 'know', 'your', 'birth', 'chart']","['match', 'know', 'birth', 'chart']","['match', 'know', 'birth', 'chart']"
"Dog lover, cat hater, emotionally unavailable.",dog lover cat hater emotionally unavailable,"['dog', 'lover', 'cat', 'hater', 'emotionally', 'unavailable']","['dog', 'lover', 'cat', 'hater', 'emotionally', 'unavailable']","['dog', 'lover', 'cat', 'hater', 'emotionally', 'unavailable']"
Obsessed with memes and existential thoughts.,obsessed with memes and existential thoughts,"['obsessed', 'with', 'memes', 'and', 'existential', 'thoughts']","['obsessed', 'memes', 'existential', 'thoughts']","['obsess', 'meme', 'existential', 'thought']"
"Loves volunteering, yet flaky with plans.",loves volunteering yet flaky with plans,"['loves', 'volunteering', 'yet', 'flaky', 'with', 'plans']","['loves', 'volunteering', 'yet', 'flaky', 'plans']","['love', 'volunteer', 'yet', 'flaky', 'plan']"
i swipe right for humor,i swipe right for humor,"['i', 'swipe', 'right', 'for', 'humor']","['swipe', 'right', 'humor']","['swipe', 'right', 'humor']"
"Flirt dangerously, nap responsibly",flirt dangerously nap responsibly,"['flirt', 'dangerously', 'nap', 'responsibly']","['flirt', 'dangerously', 'nap', 'responsibly']","['flirt', 'dangerously', 'nap', 'responsibly']"
bored & dramatic,bored  dramatic,"['bored', 'dramatic']","['bored', 'dramatic']","['bore', 'dramatic']"
tacos pls,tacos pls,"['tacos', 'pls']","['tacos', 'pls']","['taco', 'pls']"
Sarcasm is my love language. 😎💬,sarcasm is my love language,"['sarcasm', 'is', 'my', 'love', 'language']","['sarcasm', 'love', 'language']","['sarcasm', 'love', 'language']"
lowkey dramatic,lowkey dramatic,"['lowkey', 'dramatic']","['lowkey', 'dramatic']","['lowkey', 'dramatic']"
loves sushi 🍣,loves sushi,"['loves', 'sushi']","['loves', 'sushi']","['love', 'sushi']"
"I text too much, then ignore guilt-free.",i text too much then ignore guiltfree,"['i', 'text', 'too', 'much', 'then', 'ignore', 'guiltfree']","['text', 'much', 'ignore', 'guiltfree']","['text', 'much', 'ignore']"
probably online rn,probably online rn,"['probably', 'online', 'rn']","['probably', 'online', 'rn']","['probably', 'online', 'rn']"
i cry at dog videos,i cry at dog videos,"['i', 'cry', 'at', 'dog', 'videos']","['cry', 'dog', 'videos']","['cry', 'dog', 'video']"
just another human,just another human,"['just', 'another', 'human']","['another', 'human']","['another', 'human']"
I’ll tease you… then cuddle you. 😈🤗,ill tease you then cuddle you,"['ill', 'tease', 'you', 'then', 'cuddle', 'you']","['ill', 'tease', 'cuddle']","['tease', 'cuddle']"
Pizza over salad any day.,pizza over salad any day,"['pizza', 'over', 'salad', 'any', 'day']","['pizza', 'salad', 'day']","['pizza', 'salad', 'day']"
i panic sometimes,i panic sometimes,"['i', 'panic', 'sometimes']","['panic', 'sometimes']","['panic', 'sometimes']"
Introvert seeking someone to share music and snacks with.,introvert seeking someone to share music and snacks with,"['introvert', 'seeking', 'someone', 'to', 'share', 'music', 'and', 'snacks', 'with']","['introvert', 'seeking', 'someone', 'share', 'music', 'snacks']","['introvert', 'seek', 'someone', 'share', 'music', 'snack']"
"Gym rat, ignores texts.",gym rat ignores texts,"['gym', 'rat', 'ignores', 'texts']","['gym', 'rat', 'ignores', 'texts']","['gym', 'rat', 'ignores', 'texts']"
sarcasm & fun combined,sarcasm  fun combined,"['sarcasm', 'fun', 'combined']","['sarcasm', 'fun', 'combined']","['sarcasm', 'fun', 'combine']"
I’ll cook for you… then complain about cleanup. 🍳😅,ill cook for you then complain about cleanup,"['ill', 'cook', 'for', 'you', 'then', 'complain', 'about', 'cleanup']","['ill', 'cook', 'complain', 'cleanup']","['cook', 'complain', 'cleanup']"
not here to waste anyone’s time. just looking for something real.,not here to waste anyones time just looking for something real,"['not', 'here', 'to', 'waste', 'anyones', 'time', 'just', 'looking', 'for', 'something', 'real']","['waste', 'anyones', 'time', 'looking', 'something', 'real']","['waste', 'anyone', 'time', 'look', 'something', 'real']"
i like my space,i like my space,"['i', 'like', 'my', 'space']","['like', 'space']","['like', 'space']"
"Flirting: chaotic, unplanned, cute",flirting chaotic unplanned cute,"['flirting', 'chaotic', 'unplanned', 'cute']","['flirting', 'chaotic', 'unplanned', 'cute']","['flirt', 'chaotic', 'unplanned', 'cute']"
"Cat parent, flaky.",cat parent flaky,"['cat', 'parent', 'flaky']","['cat', 'parent', 'flaky']","['cat', 'parent', 'flaky']"
I cry at movies… sometimes happily. 😭,i cry at movies sometimes happily,"['i', 'cry', 'at', 'movies', 'sometimes', 'happily']","['cry', 'movies', 'sometimes', 'happily']","['cry', 'sometimes', 'happily']"
just here for free food,just here for free food,"['just', 'here', 'for', 'free', 'food']","['free', 'food']","['free', 'food']"
"Sweet, spicy, slightly dramatic. 🍬🌶️🎭",sweet spicy slightly dramatic,"['sweet', 'spicy', 'slightly', 'dramatic']","['sweet', 'spicy', 'slightly', 'dramatic']","['sweet', 'spicy', 'slightly', 'dramatic']"
Obsessed with memes and dad jokes.,obsessed with memes and dad jokes,"['obsessed', 'with', 'memes', 'and', 'dad', 'jokes']","['obsessed', 'memes', 'dad', 'jokes']","['obsess', 'meme', 'dad', 'joke']"
Coffee addict seeking someone to share lattes with.,coffee addict seeking someone to share lattes with,"['coffee', 'addict', 'seeking', 'someone', 'to', 'share', 'lattes', 'with']","['coffee', 'addict', 'seeking', 'someone', 'share', 'lattes']","['coffee', 'addict', 'seek', 'someone', 'share', 'latte']"
Dog lover with a soft spot for naps.,dog lover with a soft spot for naps,"['dog', 'lover', 'with', 'a', 'soft', 'spot', 'for', 'naps']","['dog', 'lover', 'soft', 'spot', 'naps']","['dog', 'lover', 'soft', 'spot', 'nap']"
my ex was the problem. obviously.,my ex was the problem obviously,"['my', 'ex', 'was', 'the', 'problem', 'obviously']","['ex', 'problem', 'obviously']","['ex', 'problem', 'obviously']"
binge watcher forever,binge watcher forever,"['binge', 'watcher', 'forever']","['binge', 'watcher', 'forever']","['binge', 'watcher', 'forever']"
"tacos, naps, memes",tacos naps memes,"['tacos', 'naps', 'memes']","['tacos', 'naps', 'memes']","['taco', 'nap', 'meme']"
Introvert with a caffeine addiction,introvert with a caffeine addiction,"['introvert', 'with', 'a', 'caffeine', 'addiction']","['introvert', 'caffeine', 'addiction']","['introvert', 'caffeine', 'addiction']"
"Adventure lover, rule breaker. 🏞️🔥",adventure lover rule breaker,"['adventure', 'lover', 'rule', 'breaker']","['adventure', 'lover', 'rule', 'breaker']","['adventure', 'lover', 'rule', 'breaker']"
I dance like no one’s watching… but everyone is,i dance like no ones watching but everyone is,"['i', 'dance', 'like', 'no', 'ones', 'watching', 'but', 'everyone', 'is']","['dance', 'like', 'ones', 'watching', 'everyone']","['dance', 'like', 'one', 'everyone']"
Dog whisperer,dog whisperer,"['dog', 'whisperer']","['dog', 'whisperer']","['dog', 'whisperer']"
travel bug but broke af,travel bug but broke af,"['travel', 'bug', 'but', 'broke', 'af']","['travel', 'bug', 'broke', 'af']","['travel', 'bug', 'break', 'af']"
Introvert seeking someone to share music and snacks with.,introvert seeking someone to share music and snacks with,"['introvert', 'seeking', 'someone', 'to', 'share', 'music', 'and', 'snacks', 'with']","['introvert', 'seeking', 'someone', 'share', 'music', 'snacks']","['introvert', 'seek', 'someone', 'share', 'music', 'snack']"
Could ghost you… but only if I’m mad. 😶‍🌫️,could ghost you but only if im mad,"['could', 'ghost', 'you', 'but', 'only', 'if', 'im', 'mad']","['could', 'ghost', 'im', 'mad']","['could', 'ghost', 'mad']"
Professional meme curator,professional meme curator,"['professional', 'meme', 'curator']","['professional', 'meme', 'curator']","['professional', 'meme', 'curator']"
just wing it,just wing it,"['just', 'wing', 'it']",['wing'],['wing']
I binge true crime podcasts while eating cereal at 2 AM.,i binge true crime podcasts while eating cereal at  am,"['i', 'binge', 'true', 'crime', 'podcasts', 'while', 'eating', 'cereal', 'at', 'am']","['binge', 'true', 'crime', 'podcasts', 'eating', 'cereal']","['binge', 'true', 'crime', 'podcasts', 'eat', 'cereal']"
coffee & chaos always,coffee  chaos always,"['coffee', 'chaos', 'always']","['coffee', 'chaos', 'always']","['coffee', 'chaos', 'always']"
"Fitness junkie, flaky mid-week.",fitness junkie flaky midweek,"['fitness', 'junkie', 'flaky', 'midweek']","['fitness', 'junkie', 'flaky', 'midweek']","['fitness', 'junkie', 'flaky']"
Recovering overthinker seeking chaos partner,recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recover', 'overthinker', 'seek', 'chaos', 'partner']"
"Coffee addict, bookworm, chaos seeker.",coffee addict bookworm chaos seeker,"['coffee', 'addict', 'bookworm', 'chaos', 'seeker']","['coffee', 'addict', 'bookworm', 'chaos', 'seeker']","['coffee', 'addict', 'bookworm', 'chaos', 'seeker']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
"if we’re not real, what’s the point?",if were not real whats the point,"['if', 'were', 'not', 'real', 'whats', 'the', 'point']","['real', 'whats', 'point']","['real', 'point']"
Caffeine-fueled overthinker,caffeinefueled overthinker,"['caffeinefueled', 'overthinker']","['caffeinefueled', 'overthinker']",['overthinker']
"Amateur writer, coffee lover.",amateur writer coffee lover,"['amateur', 'writer', 'coffee', 'lover']","['amateur', 'writer', 'coffee', 'lover']","['amateur', 'writer', 'coffee', 'lover']"
I don’t chase. I attract… through communication,i dont chase i attract through communication,"['i', 'dont', 'chase', 'i', 'attract', 'through', 'communication']","['dont', 'chase', 'attract', 'communication']","['chase', 'communication']"
obsessed with dogs,obsessed with dogs,"['obsessed', 'with', 'dogs']","['obsessed', 'dogs']","['obsessed', 'dog']"
"Cat mom, coffee addict, vibe creator. 🐱☕",cat mom coffee addict vibe creator,"['cat', 'mom', 'coffee', 'addict', 'vibe', 'creator']","['cat', 'mom', 'coffee', 'addict', 'vibe', 'creator']","['cat', 'mom', 'coffee', 'addict', 'vibe', 'creator']"
single & spicy,single  spicy,"['single', 'spicy']","['single', 'spicy']","['single', 'spicy']"
can be annoying but cute,can be annoying but cute,"['can', 'be', 'annoying', 'but', 'cute']","['annoying', 'cute']","['annoy', 'cute']"
"Dog mom, chaos enthusiast",dog mom chaos enthusiast,"['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']","['dog', 'mom', 'chaos', 'enthusiast']"
"Loves beaches, disappears mid-weekend.",loves beaches disappears midweekend,"['loves', 'beaches', 'disappears', 'midweekend']","['loves', 'beaches', 'disappears', 'midweekend']","['love', 'beach', 'disappears']"
drinks coffee constantly,drinks coffee constantly,"['drinks', 'coffee', 'constantly']","['drinks', 'coffee', 'constantly']","['drink', 'coffee', 'constantly']"
"Snack first, questions later",snack first questions later,"['snack', 'first', 'questions', 'later']","['snack', 'first', 'questions', 'later']","['snack', 'first', 'question', 'later']"
overthinker & fun,overthinker  fun,"['overthinker', 'fun']","['overthinker', 'fun']","['overthinker', 'fun']"
"Loves festivals, hates the crowd.",loves festivals hates the crowd,"['loves', 'festivals', 'hates', 'the', 'crowd']","['loves', 'festivals', 'hates', 'crowd']","['love', 'festival', 'hate', 'crowd']"
lazy AF,lazy af,"['lazy', 'af']","['lazy', 'af']","['lazy', 'af']"
might cry today,might cry today,"['might', 'cry', 'today']","['might', 'cry', 'today']","['might', 'cry', 'today']"
"Night owl, meme collector, chocolate lover.",night owl meme collector chocolate lover,"['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']","['night', 'owl', 'meme', 'collector', 'chocolate', 'lover']"
too many tabs open in brain,too many tabs open in brain,"['too', 'many', 'tabs', 'open', 'in', 'brain']","['many', 'tabs', 'open', 'brain']","['many', 'tab', 'open', 'brain']"
loves hugs,loves hugs,"['loves', 'hugs']","['loves', 'hugs']","['love', 'hug']"
Recovering chaos magnet,recovering chaos magnet,"['recovering', 'chaos', 'magnet']","['recovering', 'chaos', 'magnet']","['recover', 'chaos', 'magnet']"
Flirt dangerously,flirt dangerously,"['flirt', 'dangerously']","['flirt', 'dangerously']","['flirt', 'dangerously']"
overthink & binge watch,overthink  binge watch,"['overthink', 'binge', 'watch']","['overthink', 'binge', 'watch']","['overthink', 'binge', 'watch']"
loves random road trips,loves random road trips,"['loves', 'random', 'road', 'trips']","['loves', 'random', 'road', 'trips']","['love', 'random', 'road', 'trip']"
